State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Virginia,Radford,"7,736",2.3%,12.0%,80.4%,5.3%,"6,496",3.0%,8.1%,24.7%,19.4%,9.6%,22.3%,12.8%,88.9%,35.1%,"1,449",95.9%,42.7%,"1,234",88.7%,40.5%,"2,350",91.9%,36.6%,"1,463",77.1%,20.8%,27.3%,16.2%,8.0%,2.0%,"32,171","17,450","18,086","29,253","36,330","54,812",2799
Virginia,Richmond City,"34,765",13.3%,24.9%,49.1%,12.6%,"127,463",7.0%,12.9%,24.3%,18.3%,5.0%,19.6%,13.0%,80.2%,32.6%,"33,131",84.9%,41.6%,"24,671",83.0%,33.5%,"46,826",82.2%,29.8%,"22,835",66.1%,24.5%,34.3%,19.7%,13.3%,5.7%,"30,789","15,945","23,628","28,028","42,832","54,953",2802
Virginia,Roanoke City,"8,275",22.4%,32.8%,36.3%,8.4%,"66,618",7.6%,11.6%,30.4%,21.1%,7.4%,14.2%,7.8%,80.9%,21.9%,"13,933",85.7%,26.0%,"13,101",84.3%,22.6%,"25,764",83.5%,20.7%,"13,820",67.8%,19.5%,30.1%,17.4%,13.1%,5.0%,"27,526","19,225","25,052","28,588","34,266","53,882",2805
Virginia,Salem,"3,349",5.4%,29.2%,57.9%,7.5%,"16,349",4.5%,8.0%,31.3%,19.4%,7.7%,18.0%,11.1%,87.5%,29.1%,"2,404",92.8%,39.7%,"3,079",94.4%,34.0%,"6,714",90.6%,31.3%,"4,152",74.4%,15.6%,14.0%,7.3%,3.9%,1.4%,"34,646","20,550","29,315","33,349","43,668","51,559",2809
Virginia,Staunton,"2,448",6.7%,36.4%,46.7%,10.2%,"16,897",6.5%,10.8%,32.1%,17.3%,4.8%,18.2%,10.3%,82.7%,28.5%,"2,932",87.3%,29.6%,"2,839",89.0%,34.5%,"6,642",84.1%,29.6%,"4,484",73.8%,22.3%,31.2%,14.2%,9.8%,5.1%,"30,902","17,436","27,261","29,114","37,282","52,669",2812
Virginia,Suffolk,"6,351",22.3%,38.1%,31.9%,7.7%,"54,205",5.4%,9.9%,29.1%,22.7%,7.8%,16.3%,8.7%,84.7%,25.1%,"9,767",88.9%,25.8%,"13,284",90.9%,29.5%,"21,976",85.7%,24.8%,"9,178",68.8%,18.4%,21.7%,9.6%,4.5%,1.8%,"39,778","18,578","31,690","39,779","50,709","68,147",2815
Virginia,Virginia Beach,"47,261",11.6%,37.6%,42.6%,8.2%,"281,624",2.2%,5.3%,24.6%,26.2%,9.7%,21.0%,10.9%,92.5%,31.9%,"65,666",94.8%,29.5%,"62,813",94.8%,34.6%,"108,829",93.1%,34.5%,"44,316",84.2%,25.4%,13.4%,5.9%,4.7%,2.6%,"38,616","20,675","31,065","36,328","47,475","62,068",2826
Virginia,Waynesboro,"1,770",16.7%,46.2%,33.2%,4.0%,"14,241",8.3%,10.6%,37.9%,16.5%,5.0%,13.9%,7.9%,81.2%,21.8%,"2,920",89.1%,20.1%,"2,512",90.0%,21.3%,"5,250",81.4%,22.3%,"3,559",68.0%,22.8%,25.8%,16.2%,13.0%,2.5%,"27,614","16,908","24,363","30,974","36,521","55,478",2831
Virginia,Williamsburg,"5,780",1.8%,11.3%,79.8%,7.1%,"6,229",1.9%,4.6%,21.8%,20.5%,7.9%,23.7%,19.6%,93.5%,43.3%,"1,355",94.5%,48.3%,824,96.7%,27.8%,"2,281",93.6%,40.6%,"1,769",91.4%,50.1%,16.9%,13.1%,11.2%,5.1%,"29,601","19,282","21,660","20,750","42,197","55,466",2835
Virginia,Winchester,"3,216",20.6%,33.5%,33.1%,12.8%,"17,048",10.0%,10.4%,27.8%,16.4%,5.8%,16.8%,12.9%,79.7%,29.7%,"3,491",86.9%,34.8%,"3,408",79.9%,28.6%,"6,617",78.7%,29.8%,"3,532",74.1%,25.3%,20.9%,11.3%,13.8%,3.2%,"31,053","20,254","26,699","31,906","46,791","53,982",2837
Washington,Adams,"1,780",42.0%,34.2%,21.2%,2.6%,"10,003",20.3%,12.1%,28.7%,16.2%,9.2%,8.6%,4.8%,67.5%,13.4%,"2,307",56.4%,10.3%,"2,179",67.1%,12.7%,"3,640",74.4%,17.5%,"1,877",68.6%,10.2%,31.4%,11.0%,5.4%,9.7%,"23,651","16,578","24,176","31,250","33,065","51,136",2840
Washington,Asotin,"1,751",26.5%,34.2%,39.3%,0.0%,"14,924",2.5%,8.7%,35.3%,27.4%,8.0%,10.9%,7.3%,88.9%,18.2%,"2,368",86.9%,13.5%,"2,438",90.7%,18.0%,"6,091",92.9%,23.5%,"4,027",82.8%,12.9%,19.5%,12.9%,6.8%,5.0%,"27,251","17,639","21,168","29,881","41,348","54,492",2845
Washington,Benton,"14,950",24.4%,34.3%,36.2%,5.1%,"106,378",6.0%,5.9%,25.6%,25.1%,9.7%,16.9%,10.7%,88.0%,27.6%,"21,043",82.7%,23.0%,"21,695",86.4%,28.6%,"44,468",92.5%,30.5%,"19,172",85.5%,25.1%,24.0%,9.3%,8.0%,2.3%,"38,222","18,572","28,921","37,344","57,041","74,273",2847
Washington,Chelan,"6,104",23.8%,38.9%,32.6%,4.7%,"46,916",9.1%,7.9%,28.1%,22.7%,9.0%,14.9%,8.3%,83.1%,23.2%,"7,905",75.7%,19.9%,"8,473",77.1%,24.2%,"19,753",88.9%,25.4%,"10,785",82.6%,20.8%,15.6%,11.0%,7.0%,5.2%,"29,682","19,433","27,519","31,697","38,779","60,381",2852
Washington,Clallam,"5,043",21.8%,39.9%,33.8%,4.5%,"52,473",1.9%,7.0%,28.2%,29.4%,10.2%,13.8%,9.5%,91.1%,23.3%,"6,629",89.7%,14.2%,"7,303",87.4%,16.3%,"22,134",94.1%,26.3%,"16,407",89.2%,26.1%,24.8%,12.9%,12.5%,4.2%,"29,010","15,729","25,544","27,380","34,092","53,625",2861
Washington,Clark,"34,311",19.8%,35.4%,38.6%,6.3%,"268,818",2.8%,6.4%,26.6%,28.6%,9.9%,16.8%,8.9%,90.8%,25.7%,"53,956",89.7%,23.1%,"60,436",91.1%,27.8%,"109,569",93.4%,27.4%,"44,857",85.3%,21.8%,22.0%,10.0%,7.5%,3.8%,"37,334","22,254","30,757","36,253","50,228","61,665",2865
Washington,Columbia,250,28.4%,32.0%,28.0%,11.6%,"2,904",4.0%,6.7%,29.1%,30.6%,9.7%,13.4%,6.6%,89.4%,20.0%,342,88.6%,19.3%,455,86.6%,18.2%,"1,325",93.0%,20.8%,782,85.2%,19.9%,20.1%,18.0%,13.1%,2.4%,"31,519","16,196","24,031","31,739","55,909","60,278",2869
Washington,Cowlitz,"8,003",23.3%,32.2%,42.0%,2.5%,"68,232",4.2%,9.8%,30.7%,30.0%,10.6%,9.9%,4.7%,86.1%,14.7%,"11,620",84.6%,15.3%,"12,894",85.2%,15.1%,"28,678",89.1%,15.6%,"15,040",82.1%,12.1%,28.3%,12.7%,12.4%,3.1%,"31,677","17,617","29,261","32,028","43,168","55,742",2871
Washington,Douglas,"3,160",26.8%,32.3%,39.3%,1.6%,"23,820",11.4%,9.3%,26.4%,24.7%,10.8%,11.5%,5.9%,79.3%,17.3%,"4,486",72.8%,15.5%,"4,679",73.0%,13.6%,"9,725",83.2%,19.4%,"4,930",83.3%,18.4%,21.4%,9.2%,7.3%,2.9%,"27,455","15,268","27,481","32,193","43,333","55,878",2877
Washington,Ferry,706,35.6%,40.1%,24.4%,0.0%,"5,102",2.8%,8.6%,39.3%,21.6%,11.1%,10.9%,5.7%,88.6%,16.7%,499,98.2%,5.4%,753,94.2%,19.3%,"2,490",92.4%,19.2%,"1,360",74.9%,14.7%,24.4%,19.4%,14.8%,15.4%,"25,221","16,154","23,509","23,731","32,824","45,750",2880
Washington,Franklin,"7,197",35.4%,33.6%,28.2%,2.8%,"39,514",20.7%,11.7%,25.6%,20.1%,7.3%,10.0%,4.6%,67.6%,14.6%,"11,595",65.7%,11.6%,"9,167",63.8%,14.6%,"13,487",70.6%,17.1%,"5,265",70.8%,14.9%,29.8%,12.1%,6.3%,5.0%,"27,350","19,292","26,546","35,830","48,188","57,310",2884
Washington,Garfield,184,42.9%,44.0%,13.0%,0.0%,"1,621",3.1%,5.1%,34.6%,29.7%,9.7%,12.3%,5.4%,91.7%,17.7%,133,92.5%,15.0%,218,89.0%,19.3%,711,93.1%,17.6%,559,90.9%,17.9%,19.7%,19.3%,7.3%,6.1%,"31,840","24,318","19,777","33,750","41,645","34,107",2886
Washington,Grant,"8,588",31.4%,40.3%,25.1%,3.2%,"50,568",13.4%,11.6%,29.6%,22.6%,8.5%,9.9%,4.5%,75.0%,14.4%,"10,892",67.2%,10.4%,"10,719",69.9%,14.3%,"18,961",82.3%,17.3%,"9,996",75.0%,13.2%,27.2%,9.6%,11.0%,5.6%,"26,626","19,013","25,203","31,010","42,588","59,017",2889
Washington,Grays Harbor,"6,275",29.8%,39.3%,29.6%,1.4%,"49,829",5.0%,10.6%,32.9%,27.5%,9.5%,9.6%,4.9%,84.4%,14.5%,"8,077",84.8%,10.8%,"9,089",84.3%,11.9%,"21,273",87.6%,17.4%,"11,390",78.0%,13.9%,26.2%,13.3%,10.1%,4.1%,"30,408","20,522","25,385","30,155","42,513","53,131",2894
Washington,Island,"7,322",14.8%,40.8%,41.1%,3.3%,"54,588",1.2%,4.0%,24.7%,30.1%,10.2%,18.5%,11.3%,94.8%,29.8%,"8,880",95.2%,26.2%,"8,944",94.7%,23.4%,"23,088",95.8%,31.3%,"13,676",92.9%,33.9%,8.6%,8.7%,5.8%,5.1%,"35,749","22,745","33,482","33,553","41,569","55,458",2898
Washington,Jefferson,"1,494",25.8%,33.6%,38.0%,2.6%,"23,462",1.0%,4.8%,24.9%,26.4%,8.1%,19.4%,15.4%,94.2%,34.8%,"2,280",89.8%,17.9%,"2,965",92.6%,22.9%,"11,034",96.9%,36.1%,"7,183",91.9%,43.0%,24.9%,10.7%,14.9%,7.4%,"25,308","14,770","25,838","21,255","30,159","43,714",2905
Washington,King,"174,547",13.6%,25.8%,44.0%,16.6%,"1,299,736",3.5%,4.6%,17.7%,20.9%,8.0%,28.8%,16.4%,91.9%,45.2%,"303,616",92.3%,49.6%,"298,119",92.9%,50.2%,"499,578",93.3%,44.3%,"198,423",86.3%,33.4%,23.6%,11.8%,8.0%,3.7%,"44,404","21,958","31,329","38,834","55,509","70,054",2913
Washington,Kitsap,"25,223",16.8%,39.3%,39.8%,4.0%,"165,105",2.0%,5.3%,24.1%,29.6%,11.0%,18.0%,10.0%,92.7%,28.0%,"29,623",91.7%,22.3%,"32,251",92.9%,26.2%,"72,079",94.6%,31.5%,"31,152",88.8%,27.3%,21.6%,11.0%,7.2%,2.6%,"37,416","19,590","29,490","36,725","50,172","63,409",2927
Washington,Kittitas,"9,241",4.4%,12.3%,72.8%,10.5%,"23,102",3.1%,7.1%,28.9%,22.2%,6.8%,20.1%,11.8%,89.8%,31.9%,"4,286",89.6%,33.1%,"4,130",87.0%,34.2%,"9,802",92.6%,35.0%,"4,884",86.8%,23.0%,19.0%,11.8%,12.6%,5.5%,"32,719","20,481","32,014","26,826","40,615","54,494",2932
Washington,Klickitat,"1,172",32.3%,35.2%,28.8%,3.7%,"14,360",4.7%,8.1%,35.4%,26.1%,7.8%,12.4%,5.6%,87.2%,17.9%,"2,089",80.9%,14.7%,"2,260",86.4%,19.5%,"6,507",89.7%,21.3%,"3,504",87.0%,12.5%,28.7%,16.0%,10.2%,6.3%,"27,068","21,023","22,940","23,000","38,500","56,316",2935
Washington,Lewis,"6,224",25.6%,40.9%,30.5%,3.0%,"50,746",3.7%,11.4%,32.8%,28.0%,9.0%,9.2%,5.8%,84.9%,15.0%,"8,250",83.8%,11.3%,"8,971",84.1%,14.7%,"21,161",89.5%,18.1%,"12,364",78.5%,12.6%,19.8%,9.7%,9.5%,4.6%,"29,988","20,158","27,138","30,060","37,125","53,734",2940
Washington,Lincoln,623,29.4%,47.2%,19.3%,4.2%,"7,488",2.1%,6.6%,31.2%,28.4%,11.5%,14.0%,6.3%,91.3%,20.3%,847,89.0%,19.5%,"1,092",92.1%,17.9%,"3,383",94.2%,24.4%,"2,166",87.3%,15.4%,13.3%,10.6%,9.4%,3.4%,"30,364","21,406","23,189","30,162","42,438","56,990",2942
Washington,Mason,"4,642",29.2%,33.4%,33.2%,4.2%,"42,462",4.9%,8.4%,31.9%,28.5%,8.3%,12.2%,5.7%,86.6%,17.9%,"6,471",78.8%,10.1%,"7,294",85.4%,13.2%,"18,305",89.7%,21.0%,"10,392",87.0%,20.7%,23.1%,16.7%,10.8%,4.1%,"31,709","21,037","30,651","31,562","38,373","56,445",2946
Washington,Okanogan,"3,090",33.1%,43.5%,21.4%,2.0%,"27,596",6.5%,9.7%,32.5%,24.8%,8.8%,10.8%,7.0%,83.8%,17.7%,"4,073",78.0%,15.5%,"4,637",82.2%,20.6%,"12,385",87.8%,21.2%,"6,501",80.9%,10.4%,29.2%,16.6%,14.5%,5.7%,"25,824","16,599","23,483","23,171","40,000","51,610",2947
Washington,Pacific,"1,369",24.1%,39.7%,25.8%,10.4%,"15,938",3.9%,10.0%,32.5%,28.4%,8.5%,10.8%,6.0%,86.1%,16.8%,"1,772",79.2%,19.8%,"2,209",85.6%,12.8%,"6,970",89.3%,19.3%,"4,987",84.4%,13.9%,29.8%,14.5%,12.5%,6.1%,"27,201","14,439","27,487","26,773","41,742","43,269",2949
Washington,Pend Oreille,744,37.1%,44.8%,16.3%,1.9%,"9,266",2.8%,9.5%,34.0%,27.3%,8.6%,11.8%,6.1%,87.7%,17.9%,"1,056",86.5%,16.1%,"1,450",86.3%,19.0%,"4,457",92.9%,17.5%,"2,303",79.2%,18.8%,25.1%,23.2%,11.3%,6.3%,"25,992","16,843","22,422","25,155","46,143","45,298",2951
Washington,Pierce,"79,474",19.3%,35.1%,39.8%,5.8%,"506,145",3.3%,7.0%,29.5%,27.1%,9.8%,15.3%,8.1%,89.8%,23.4%,"108,117",89.1%,20.8%,"111,534",91.1%,23.8%,"202,937",91.9%,25.6%,"83,557",83.7%,20.7%,22.9%,11.0%,8.3%,3.5%,"38,646","21,667","32,499","38,150","50,645","62,771",2956
Washington,San Juan,684,20.8%,40.5%,33.9%,4.8%,"12,343",1.2%,4.4%,18.7%,25.8%,4.9%,26.6%,18.3%,94.3%,44.9%,"1,248",81.7%,24.6%,"1,595",92.7%,35.0%,"6,194",96.3%,44.9%,"3,306",96.2%,57.3%,24.3%,12.0%,8.1%,6.4%,"30,432","25,625","30,232","27,285","31,598","37,574",2957
Washington,Skagit,"9,694",24.9%,36.6%,34.0%,4.5%,"77,925",5.0%,7.4%,25.4%,27.4%,11.7%,14.5%,8.7%,87.7%,23.2%,"13,516",81.4%,19.4%,"14,426",86.1%,21.1%,"32,088",91.8%,24.8%,"17,895",86.2%,24.8%,24.4%,8.8%,7.6%,4.3%,"33,848","21,217","30,990","34,401","43,436","53,627",2958
Washington,Skamania,787,27.8%,36.2%,34.3%,1.7%,"7,639",2.3%,7.5%,33.9%,27.1%,9.5%,12.9%,6.8%,90.2%,19.7%,"1,051",91.3%,24.1%,"1,441",89.4%,28.7%,"3,700",94.1%,17.2%,"1,447",80.4%,14.0%,18.8%,6.8%,8.3%,8.6%,"33,636","27,702","30,679","31,689","41,956","51,480",2959
Washington,Snohomish,"61,737",17.7%,35.9%,38.9%,7.5%,"459,785",2.8%,6.4%,25.6%,26.4%,10.5%,19.9%,8.3%,90.7%,28.2%,"95,542",88.9%,28.0%,"106,748",91.7%,29.6%,"188,751",93.4%,29.3%,"68,744",84.4%,23.5%,17.4%,8.1%,6.5%,3.4%,"41,833","26,234","34,789","40,279","55,238","66,871",2960
Washington,Spokane,"52,581",11.9%,29.1%,52.1%,6.9%,"299,842",2.1%,5.9%,25.3%,27.1%,11.7%,17.8%,10.1%,92.0%,27.9%,"59,568",92.9%,26.1%,"59,224",93.1%,29.7%,"122,585",94.1%,30.5%,"58,465",85.5%,22.2%,25.1%,12.7%,10.2%,4.3%,"32,216","19,158","26,311","30,596","42,714","56,516",2961
Washington,Stevens,"2,745",13.7%,58.2%,26.0%,2.1%,"29,752",2.6%,7.2%,33.0%,27.3%,10.6%,13.4%,5.8%,90.2%,19.2%,"3,557",91.9%,21.3%,"5,177",90.4%,14.6%,"14,049",92.3%,20.6%,"6,969",84.8%,18.7%,28.8%,13.0%,11.5%,7.0%,"30,447","18,148","26,225","31,363","35,636","52,399",2963
Washington,Thurston,"22,588",14.5%,30.8%,46.6%,8.1%,"164,498",1.9%,5.4%,24.3%,26.7%,10.1%,19.2%,12.4%,92.6%,31.6%,"31,705",91.9%,26.8%,"33,288",94.2%,32.6%,"68,983",94.6%,35.2%,"30,522",87.2%,27.3%,19.5%,7.5%,7.3%,4.0%,"40,443","22,186","32,182","37,991","50,792","63,500",2967
Washington,Wahkiakum,158,45.6%,39.9%,14.6%,0.0%,"3,016",2.0%,5.6%,32.7%,35.8%,8.6%,10.7%,4.6%,92.4%,15.3%,281,100.0%,29.2%,398,94.5%,4.0%,"1,337",92.4%,15.7%,"1,000",89.5%,15.4%,8.8%,14.5%,10.2%,4.3%,"27,303","9,722","28,000","29,625","26,250","35,833",2969
Washington,Walla Walla,"7,226",15.5%,25.6%,54.6%,4.2%,"37,145",6.7%,6.7%,25.2%,25.7%,11.4%,14.2%,10.0%,86.6%,24.2%,"7,062",83.7%,18.2%,"7,055",82.7%,22.1%,"14,387",90.4%,26.8%,"8,641",85.7%,26.6%,29.3%,12.5%,11.7%,3.3%,"31,129","18,271","22,601","32,422","43,864","54,198",2970
Washington,Whatcom,"29,160",10.5%,23.5%,60.0%,6.0%,"125,073",3.0%,6.3%,24.5%,24.3%,10.2%,21.0%,10.7%,90.7%,31.7%,"24,158",90.2%,29.4%,"24,236",92.7%,33.6%,"51,715",92.1%,33.4%,"24,964",86.1%,28.4%,23.6%,10.3%,10.3%,5.4%,"32,186","20,063","30,575","30,763","37,667","49,492",2972
Washington,Whitman,"15,885",1.7%,15.8%,73.2%,9.2%,"21,163",1.1%,3.2%,19.2%,21.1%,7.9%,25.8%,21.6%,95.7%,47.4%,"5,543",98.6%,57.6%,"3,680",96.2%,52.5%,"7,867",95.6%,46.2%,"4,073",91.8%,31.5%,33.0%,12.6%,10.7%,7.7%,"32,190","13,393","23,344","26,712","33,111","50,101",2973
Washington,Yakima,"23,488",36.3%,35.0%,25.6%,3.1%,"141,039",16.6%,12.6%,27.5%,21.3%,6.4%,9.6%,6.0%,70.8%,15.6%,"30,422",68.2%,11.9%,"29,827",66.3%,13.9%,"53,778",75.8%,18.2%,"27,012",68.6%,16.3%,28.0%,14.2%,10.6%,3.7%,"25,863","17,546","25,702","30,150","45,777","57,426",2974
West Virginia,Barbour,"1,487",13.2%,38.6%,44.0%,4.2%,"11,209",9.5%,10.1%,48.9%,13.6%,4.6%,8.4%,4.9%,80.4%,13.3%,"1,789",95.9%,14.1%,"2,064",89.2%,10.0%,"4,719",78.9%,15.1%,"2,637",65.6%,12.2%,26.2%,13.9%,11.4%,6.1%,"22,878","16,736","21,062","22,436","41,964","45,375",2975
West Virginia,Berkeley,"7,805",21.6%,45.1%,27.0%,6.3%,"67,518",4.4%,10.7%,39.5%,19.7%,6.0%,12.3%,7.5%,84.9%,19.7%,"13,715",87.6%,23.1%,"16,010",86.9%,17.5%,"26,767",87.8%,20.9%,"11,026",71.6%,15.9%,17.6%,8.7%,6.5%,3.1%,"34,165","21,061","30,776","37,350","43,704","50,532",2976
West Virginia,Boone,"1,790",24.8%,46.3%,25.0%,3.9%,"17,385",10.6%,17.9%,44.9%,14.4%,4.1%,4.9%,3.3%,71.5%,8.2%,"3,036",83.0%,7.3%,"3,333",75.3%,13.0%,"7,508",76.0%,9.0%,"3,508",48.2%,2.6%,32.9%,13.6%,5.7%,4.1%,"34,959","22,934","31,757","35,666","45,795","47,348",2977
West Virginia,Braxton,"1,139",20.5%,46.2%,30.2%,3.1%,"10,380",12.4%,13.7%,46.3%,12.0%,6.1%,6.4%,3.1%,73.9%,9.5%,"1,556",76.3%,12.5%,"1,958",86.4%,7.8%,"4,364",79.8%,12.2%,"2,502",52.3%,4.2%,32.5%,14.5%,11.9%,10.6%,"23,284","12,933","21,800","26,117","32,531","44,688",2978
West Virginia,Brooke,"2,231",15.3%,31.3%,44.4%,9.0%,"17,382",4.1%,7.9%,46.1%,18.4%,7.9%,9.9%,5.7%,87.9%,15.6%,"2,516",96.1%,20.0%,"2,933",96.1%,19.7%,"7,287",92.0%,17.6%,"4,646",71.9%,7.5%,21.0%,7.7%,6.9%,1.0%,"30,059","16,836","22,046","29,730","40,452","54,292",2979
West Virginia,Cabell,"12,295",14.5%,23.7%,51.1%,10.8%,"64,645",4.8%,9.5%,35.0%,20.7%,6.9%,13.3%,9.7%,85.7%,23.0%,"12,619",93.5%,30.3%,"11,816",89.1%,22.1%,"24,923",87.8%,23.7%,"15,287",73.2%,16.5%,30.5%,15.3%,13.8%,5.6%,"28,219","13,951","24,941","24,885","36,298","52,874",2980
West Virginia,Calhoun,567,27.2%,33.2%,39.7%,0.0%,"5,498",13.2%,15.2%,44.3%,14.6%,4.8%,5.4%,2.7%,71.7%,8.0%,815,65.3%,11.5%,937,87.5%,6.2%,"2,388",75.5%,9.5%,"1,358",58.0%,4.6%,27.7%,13.1%,11.7%,2.7%,"21,306","18,009","19,175","23,000","31,583","38,750",2981
West Virginia,Clay,673,23.6%,48.9%,22.7%,4.8%,"6,581",12.9%,14.1%,46.5%,12.1%,6.1%,4.1%,4.2%,73.0%,8.3%,"1,087",83.5%,5.7%,"1,281",84.6%,15.4%,"2,781",73.4%,7.7%,"1,432",53.9%,5.2%,39.4%,19.6%,10.9%,2.3%,"29,952","25,313","25,069","32,692","58,594","42,273",3000
West Virginia,Doddridge,707,32.8%,47.2%,16.1%,3.8%,"5,604",7.5%,18.6%,46.0%,16.4%,3.6%,6.4%,1.6%,73.9%,8.0%,902,81.7%,10.9%,"1,070",73.7%,11.6%,"2,367",76.3%,6.0%,"1,265",64.0%,6.6%,40.9%,14.5%,15.3%,0.9%,"20,891","15,688","22,157","18,103","25,625","50,375",3002
West Virginia,Fayette,"3,777",21.6%,33.6%,42.1%,2.7%,"32,771",9.9%,13.5%,45.2%,16.5%,4.3%,7.1%,3.5%,76.6%,10.7%,"5,384",85.4%,11.7%,"5,911",85.5%,12.8%,"13,776",79.8%,10.1%,"7,700",58.1%,9.5%,28.5%,16.8%,10.8%,9.1%,"25,707","17,217","22,967","27,303","35,164","44,975",3006
West Virginia,Gilmer,"1,224",7.9%,25.2%,62.4%,4.5%,"5,869",11.3%,13.8%,40.7%,16.4%,5.5%,7.9%,4.3%,74.9%,12.2%,"1,231",81.7%,9.2%,"1,295",80.9%,9.3%,"2,151",74.3%,14.2%,"1,192",62.3%,14.8%,42.5%,18.3%,25.5%,5.3%,"17,031","15,208","19,306","14,625","22,500","47,019",3008
West Virginia,Grant,787,13.6%,53.1%,19.8%,13.5%,"8,514",10.0%,10.6%,51.0%,12.8%,4.1%,7.1%,4.4%,79.4%,11.5%,"1,285",91.5%,10.7%,"1,628",89.6%,13.5%,"3,539",81.9%,13.3%,"2,062",59.5%,7.4%,28.9%,8.3%,6.1%,1.2%,"26,099","17,708","24,974","25,659","39,476","45,714",3011
West Virginia,Greenbrier,"2,691",23.5%,35.0%,27.1%,14.4%,"25,568",8.4%,13.8%,38.7%,16.9%,5.0%,10.5%,6.7%,77.8%,17.2%,"3,773",81.3%,19.3%,"4,410",84.3%,17.0%,"10,682",83.6%,19.9%,"6,703",62.2%,11.6%,29.9%,17.9%,6.7%,9.9%,"25,647","15,417","22,042","27,534","35,956","45,948",3013
West Virginia,Hampshire,"1,643",15.9%,42.6%,37.0%,4.4%,"16,506",6.4%,15.3%,53.0%,12.2%,3.8%,5.9%,3.5%,78.4%,9.4%,"2,568",85.9%,12.9%,"3,316",88.1%,9.7%,"6,977",80.9%,9.2%,"3,645",59.4%,6.9%,34.3%,12.9%,7.2%,0.0%,"26,734","20,174","25,663","26,875","43,305","42,469",3016
West Virginia,Hancock,"1,980",17.9%,36.0%,36.2%,9.9%,"22,638",4.7%,7.8%,44.7%,18.6%,8.9%,10.2%,5.0%,87.5%,15.3%,"3,342",94.0%,21.8%,"4,112",94.6%,18.8%,"9,442",90.7%,14.6%,"5,742",73.3%,10.0%,26.8%,10.7%,11.9%,2.1%,"27,894","8,297","21,959","29,740","38,892","51,777",3017
West Virginia,Hardy,"1,157",14.1%,43.8%,40.1%,2.0%,"8,925",9.2%,9.9%,51.5%,13.9%,6.0%,5.8%,3.7%,80.9%,9.5%,"1,197",87.1%,15.3%,"1,607",90.6%,7.4%,"3,919",83.0%,8.7%,"2,202",66.8%,9.3%,20.5%,10.5%,10.8%,3.2%,"24,661","23,011","23,891","24,279","40,064","44,744",3019
West Virginia,Harrison,"5,141",24.2%,35.4%,32.5%,7.8%,"48,222",5.1%,10.8%,40.0%,20.9%,5.7%,11.5%,6.0%,84.1%,17.6%,"8,181",88.2%,21.0%,"9,139",89.8%,20.4%,"19,670",86.7%,19.1%,"11,232",72.0%,10.0%,34.1%,15.1%,10.0%,3.5%,"29,699","14,365","22,464","30,920","42,743","50,056",3021
West Virginia,Jackson,"2,085",15.7%,40.7%,35.3%,8.2%,"20,352",6.4%,11.5%,40.8%,19.5%,7.4%,10.3%,4.2%,82.2%,14.5%,"3,223",86.3%,15.9%,"3,940",89.0%,22.4%,"8,144",85.3%,15.4%,"5,045",69.2%,6.0%,32.6%,13.5%,10.2%,2.5%,"32,498","19,524","26,683","36,089","41,439","50,101",3023
West Virginia,Jefferson,"5,167",13.1%,29.3%,52.3%,5.2%,"34,480",3.3%,11.5%,33.1%,17.5%,6.9%,16.8%,10.9%,85.2%,27.7%,"5,917",87.2%,25.2%,"8,270",87.6%,29.9%,"14,377",86.9%,29.0%,"5,916",75.7%,24.1%,16.5%,6.2%,3.0%,2.0%,"40,776","26,364","31,475","43,151","56,261","63,472",3026
West Virginia,Kanawha,"14,936",18.7%,36.1%,36.8%,8.4%,"137,904",4.8%,9.3%,38.1%,18.6%,5.7%,14.2%,9.2%,85.9%,23.4%,"24,079",90.2%,29.5%,"24,545",90.7%,26.2%,"57,109",88.8%,24.4%,"32,171",73.8%,14.9%,24.6%,12.1%,8.7%,2.4%,"31,068","16,479","25,129","30,135","41,792","57,068",3027
