County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Texas,Chambers,45.6%,28.8%,79.2%,4.3%,16.5%,2395
Texas,Cherokee,35.9%,39.2%,69.9%,7.5%,22.6%,2400
Texas,Childress,33.6%,35.7%,77.7%,14.1%,8.1%,2405
Texas,Clay,31.9%,39.9%,87.4%,1.5%,11.1%,2409
Texas,Cochran,42.1%,37.8%,86.2%,3.7%,10.1%,2413
Texas,Coke,24.2%,48.3%,77.7%,8.5%,13.8%,2418
Texas,Coleman,25.6%,48.5%,81.2%,10.0%,8.8%,2423
Texas,Collin,43.2%,20.9%,74.8%,22.7%,2.5%,2429
Texas,Collingsworth,36.2%,45.7%,84.6%,8.6%,6.8%,2434
Texas,Colorado,29.7%,42.8%,77.6%,7.5%,14.8%,2441
Texas,Comal,35.5%,35.8%,76.5%,10.8%,12.7%,2449
Texas,Comanche,29.5%,50.6%,77.9%,5.5%,16.6%,2455
Texas,Concho,37.1%,47.1%,87.7%,2.9%,9.4%,2458
Texas,Cooke,35.9%,38.9%,77.7%,7.6%,14.8%,2463
Texas,Coryell,49.4%,23.6%,76.7%,17.4%,5.9%,2469
Texas,Cottle,23.7%,54.0%,90.6%,7.8%,1.6%,2473
Texas,Crane,43.8%,32.4%,90.1%,0.0%,9.9%,2478
Texas,Crockett,43.1%,36.1%,75.4%,14.9%,9.7%,2483
Texas,Crosby,33.3%,39.8%,89.6%,5.8%,4.6%,2487
Texas,Culberson,44.2%,34.4%,62.7%,7.5%,29.8%,2491
Texas,Dallam,36.6%,25.0%,83.9%,4.3%,11.8%,2498
Texas,Dallas,38.3%,24.4%,62.2%,36.2%,1.6%,2507
Texas,Dawson,28.5%,41.0%,90.2%,5.6%,4.2%,2512
Texas,Deaf Smith,42.1%,32.9%,80.2%,11.7%,8.1%,2515
Texas,Delta,26.7%,45.9%,86.1%,2.5%,11.4%,2524
Texas,Denton,41.4%,19.2%,70.4%,25.1%,4.6%,2532
Texas,DeWitt,29.8%,44.0%,75.1%,8.5%,16.4%,2538
Texas,Dickens,28.5%,46.7%,89.7%,3.9%,6.4%,2542
Texas,Dimmit,47.7%,33.9%,67.7%,12.0%,20.3%,2548
Texas,Donley,35.5%,48.2%,81.9%,7.6%,10.6%,2551
Texas,Duval,38.5%,45.3%,80.3%,5.4%,14.4%,2556
Texas,Eastland,28.7%,44.0%,76.5%,8.3%,15.2%,2562
Texas,Ector,41.2%,28.4%,65.8%,18.2%,15.9%,2568
Texas,Edwards,23.5%,46.5%,93.0%,1.4%,5.6%,2574
Texas,Ellis,45.3%,28.0%,79.6%,9.4%,11.1%,2579
Texas,El Paso,47.1%,30.9%,72.1%,21.8%,6.1%,2588
Texas,Erath,30.6%,29.7%,69.3%,12.4%,18.3%,2597
Texas,Falls,28.4%,44.7%,81.4%,8.4%,10.1%,2601
Texas,Fannin,34.1%,41.1%,80.4%,8.5%,11.1%,2621
Texas,Fayette,29.0%,43.7%,76.2%,7.4%,16.4%,2624
Texas,Fisher,29.4%,43.3%,88.5%,5.3%,6.2%,2628
Texas,Floyd,41.2%,41.2%,92.9%,5.0%,2.1%,2630
Texas,Foard,33.0%,46.7%,86.7%,10.5%,2.8%,2002
Texas,Fort Bend,50.4%,24.2%,87.0%,9.3%,3.6%,2009
Texas,Franklin,31.2%,44.9%,82.2%,4.6%,13.2%,2016
Texas,Freestone,27.7%,41.1%,73.7%,4.6%,21.7%,2022
Texas,Frio,42.6%,38.8%,73.4%,10.8%,15.8%,2028
Texas,Gaines,46.1%,24.9%,74.6%,7.1%,18.3%,2032
Texas,Galveston,36.3%,30.2%,75.3%,19.0%,5.7%,2059
Texas,Garza,36.8%,42.1%,82.9%,8.6%,8.6%,2060
Texas,Gillespie,26.5%,48.1%,77.7%,7.8%,14.5%,2066
Texas,Glasscock,34.9%,27.4%,88.1%,0.0%,11.9%,2072
Texas,Goliad,28.6%,44.2%,78.8%,3.2%,18.0%,2079
Texas,Gonzales,36.4%,38.9%,67.2%,9.4%,23.5%,2086
Texas,Gray,35.0%,40.1%,86.4%,7.6%,6.0%,2088
Texas,Grayson,33.2%,36.7%,75.9%,14.3%,9.8%,2094
Texas,Gregg,35.6%,33.6%,71.6%,19.8%,8.6%,2101
Texas,Grimes,34.3%,36.1%,71.7%,5.7%,22.6%,2108
Texas,Guadalupe,42.3%,31.9%,76.7%,6.4%,16.9%,2116
Texas,Hale,44.0%,34.9%,82.8%,11.8%,5.3%,2120
Texas,Hall,34.4%,45.1%,86.9%,10.4%,2.6%,2125
Texas,Hamilton,22.4%,49.5%,87.7%,3.8%,8.6%,2128
Texas,Hansford,38.9%,32.3%,85.0%,4.6%,10.4%,2132
Texas,Hardeman,36.4%,47.3%,86.5%,9.6%,3.9%,2137
Texas,Hardin,37.1%,34.0%,70.2%,5.3%,24.5%,2142
Texas,Harris,40.7%,24.0%,64.4%,32.8%,2.9%,2149
Texas,Harrison,33.8%,37.0%,70.4%,7.8%,21.8%,2157
Texas,Hartley,38.7%,36.6%,87.6%,3.3%,9.1%,2160
Texas,Haskell,31.8%,46.3%,85.8%,5.4%,8.8%,2163
Texas,Hays,34.6%,24.4%,68.6%,20.8%,10.5%,2166
Texas,Hemphill,32.4%,35.7%,86.8%,5.0%,8.2%,2171
Texas,Henderson,30.3%,42.8%,62.9%,6.9%,30.2%,2178
Texas,Hidalgo,54.0%,30.8%,71.7%,14.4%,13.9%,2188
Texas,Hill,31.0%,42.8%,74.6%,6.2%,19.1%,2201
Texas,Hockley,38.8%,33.7%,74.3%,7.9%,17.9%,2208
Texas,Hood,29.6%,44.4%,70.3%,6.8%,22.8%,2213
Texas,Hopkins,31.4%,36.1%,75.0%,11.1%,13.9%,2221
Texas,Houston,31.3%,46.6%,74.7%,7.1%,18.2%,2228
Texas,Howard,34.5%,38.5%,80.8%,11.6%,7.6%,2231
Texas,Hudspeth,35.8%,45.1%,61.6%,3.8%,34.6%,2241
Texas,Hunt,33.9%,35.7%,66.9%,13.1%,20.1%,2246
Texas,Hutchinson,35.2%,38.4%,85.1%,5.9%,9.0%,2249
Texas,Irion,33.2%,41.8%,86.1%,0.0%,13.9%,2255
Texas,Jack,29.8%,40.7%,82.8%,4.4%,12.8%,2256
Texas,Jackson,31.1%,39.0%,75.0%,6.7%,18.3%,2264
Texas,Jasper,38.7%,39.3%,70.6%,6.5%,22.9%,2271
Texas,Jeff Davis,24.5%,46.0%,81.5%,0.0%,18.5%,2275
Texas,Jefferson,34.7%,33.7%,77.6%,19.1%,3.3%,2285
Texas,Jim Hogg,36.0%,45.2%,81.1%,9.7%,9.3%,2288
Texas,Jim Wells,41.9%,35.8%,78.4%,8.5%,13.0%,2294
Texas,Johnson,40.7%,30.7%,69.5%,8.4%,22.1%,2299
Texas,Jones,29.7%,42.0%,81.6%,5.5%,12.9%,2301
Texas,Karnes,41.9%,34.9%,72.5%,11.7%,15.8%,2307
Texas,Kaufman,42.1%,28.9%,74.5%,8.0%,17.5%,2314
Texas,Kendall,35.9%,37.9%,75.3%,11.6%,13.1%,2319
Texas,Kenedy,28.3%,38.0%,75.0%,18.5%,6.5%,2330
Texas,Kent,18.4%,46.3%,94.0%,0.0%,6.0%,2335
Texas,Kerr,28.6%,48.4%,71.6%,11.3%,17.1%,2337
Texas,Kimble,22.4%,44.9%,74.4%,8.8%,16.8%,2339
Texas,King,18.9%,31.6%,92.6%,7.4%,0.0%,2342
Texas,Kinney,25.2%,61.1%,75.7%,9.8%,14.5%,2347
Texas,Kleberg,37.9%,32.4%,70.4%,21.6%,8.0%,2358
Texas,Knox,25.7%,42.0%,85.5%,11.8%,2.8%,2364
Texas,Lamar,35.3%,39.2%,79.6%,12.6%,7.8%,2371
Texas,Lamb,40.1%,40.4%,88.9%,4.8%,6.3%,2376
Texas,Lampasas,34.4%,37.7%,76.4%,5.9%,17.7%,2381
Texas,La Salle,40.0%,44.4%,62.7%,14.8%,22.5%,2388
Texas,Lavaca,29.1%,43.2%,79.0%,5.0%,16.0%,2392
Texas,Lee,36.9%,36.9%,68.2%,9.2%,22.5%,2398
Texas,Leon,28.5%,49.4%,69.8%,4.0%,26.2%,2402
Texas,Liberty,39.8%,35.2%,61.6%,5.6%,32.8%,2404
Texas,Limestone,33.9%,41.5%,73.6%,5.2%,21.3%,2408
Texas,Lipscomb,36.0%,37.3%,84.7%,9.8%,5.5%,2412
Texas,Live Oak,25.6%,47.5%,80.9%,4.2%,14.9%,2416
Texas,Llano,17.6%,61.0%,72.0%,10.6%,17.4%,2421
Texas,Loving,18.2%,0.0%,72.7%,0.0%,27.3%,2424
Texas,Lubbock,33.3%,28.1%,71.6%,22.6%,5.8%,2428
Texas,Lynn,39.4%,37.6%,85.4%,4.9%,9.7%,2438
Texas,McCulloch,28.1%,49.6%,81.7%,10.1%,8.2%,2452
Texas,McLennan,35.1%,31.3%,72.3%,22.2%,5.6%,2477
Texas,McMullen,16.0%,49.2%,86.0%,2.0%,12.1%,2494
Texas,Madison,27.8%,48.0%,75.1%,4.3%,20.7%,2526
Texas,Marion,29.1%,46.1%,65.9%,4.7%,29.4%,2547
Texas,Martin,40.5%,34.0%,78.8%,8.8%,12.5%,2564
Texas,Mason,24.5%,56.1%,91.7%,3.5%,4.8%,2570
Texas,Matagorda,37.7%,33.7%,70.4%,14.0%,15.6%,2637
Texas,Maverick,53.5%,33.5%,76.2%,14.1%,9.8%,2649
Texas,Medina,39.8%,36.1%,66.3%,6.4%,27.4%,2652
Texas,Menard,25.8%,53.5%,89.1%,2.2%,8.7%,2655
Texas,Midland,39.1%,28.3%,71.7%,20.0%,8.2%,2657
Texas,Milam,31.7%,41.2%,80.8%,5.1%,14.1%,2659
Texas,Mills,27.2%,50.1%,80.6%,4.3%,15.0%,2663
Texas,Mitchell,34.3%,38.4%,85.0%,5.7%,9.3%,2666
Texas,Montague,28.7%,45.6%,78.0%,5.1%,16.9%,2669
Texas,Montgomery,40.2%,28.6%,72.2%,12.4%,15.3%,2682
Texas,Moore,46.1%,30.1%,76.1%,14.6%,9.3%,2683
Texas,Morris,29.1%,43.0%,84.2%,7.1%,8.8%,2688
Texas,Motley,23.2%,53.1%,95.2%,2.5%,2.3%,2692
Texas,Nacogdoches,33.4%,29.8%,59.1%,21.5%,19.3%,2701
Texas,Navarro,37.1%,36.9%,73.0%,10.5%,16.5%,2706
Texas,Newton,29.1%,43.8%,71.7%,2.2%,26.0%,2711
Texas,Nolan,34.6%,39.2%,82.1%,12.5%,5.4%,2714
Texas,Nueces,36.6%,32.6%,72.6%,23.7%,3.7%,2194
Texas,Ochiltree,38.5%,29.7%,76.2%,8.1%,15.7%,2204
Texas,Oldham,37.0%,40.0%,84.1%,7.9%,8.0%,2210
Texas,Orange,35.8%,34.2%,74.0%,7.8%,18.2%,2214
Texas,Palo Pinto,34.4%,38.9%,75.0%,6.4%,18.6%,2220
Texas,Panola,34.2%,39.2%,74.5%,4.4%,21.1%,2227
Texas,Parker,38.4%,32.3%,72.1%,7.3%,20.6%,2229
Texas,Parmer,45.4%,35.1%,83.8%,6.6%,9.6%,2235
Texas,Pecos,40.8%,36.6%,71.5%,11.6%,16.9%,2239
Texas,Polk,29.5%,46.2%,68.3%,4.9%,26.8%,2243
Texas,Potter,37.6%,28.6%,71.8%,19.1%,9.1%,2247
Texas,Presidio,34.3%,47.8%,65.8%,9.6%,24.6%,2261
Texas,Rains,25.3%,47.7%,76.6%,3.2%,20.2%,2268
Texas,Randall,35.4%,29.4%,75.5%,16.7%,7.8%,2274
Texas,Reagan,43.0%,26.9%,72.7%,2.7%,24.6%,2280
Texas,Real,26.7%,52.0%,78.9%,0.0%,21.1%,2283
Texas,Red River,29.6%,41.6%,79.9%,8.0%,12.1%,2295
Texas,Reeves,39.1%,39.3%,78.6%,5.6%,15.8%,2308
Texas,Refugio,31.8%,45.5%,82.3%,5.4%,12.3%,2334
Texas,Roberts,30.8%,40.9%,95.1%,0.0%,4.9%,2348
Texas,Robertson,38.7%,38.9%,67.8%,12.8%,19.4%,2353
Texas,Rockwall,47.6%,27.7%,90.0%,5.9%,4.0%,2355
Texas,Runnels,35.8%,42.0%,87.2%,5.6%,7.2%,2361
Texas,Rusk,34.6%,38.8%,77.1%,6.2%,16.7%,2367
Texas,Sabine,23.8%,59.0%,63.8%,4.3%,31.9%,2370
Texas,San Augustine,24.5%,50.1%,66.4%,6.6%,27.0%,2380
Texas,San Jacinto,33.9%,43.5%,68.0%,2.2%,29.8%,2387
Texas,San Patricio,40.5%,34.2%,75.9%,15.4%,8.7%,2415
Texas,San Saba,32.3%,47.1%,80.3%,5.1%,14.5%,2435
Texas,Schleicher,36.6%,38.7%,81.0%,3.0%,16.0%,2437
Texas,Scurry,34.7%,33.6%,82.9%,9.7%,7.3%,2443
Texas,Shackelford,33.1%,42.9%,84.6%,9.5%,5.9%,2445
Texas,Shelby,39.9%,37.7%,68.5%,5.9%,25.6%,2448
Texas,Sherman,35.8%,38.4%,89.4%,3.2%,7.4%,2453
Texas,Smith,35.0%,34.2%,71.5%,16.1%,12.4%,2465
Texas,Somervell,33.2%,34.5%,74.8%,7.3%,17.9%,2470
Texas,Starr,52.4%,36.8%,87.1%,5.2%,7.7%,2474
Texas,Stephens,36.2%,42.5%,78.1%,11.9%,10.0%,2480
Texas,Sterling,29.6%,39.7%,83.0%,1.3%,15.7%,2481
Texas,Stonewall,27.0%,46.3%,89.4%,4.4%,6.3%,2486
Texas,Sutton,43.6%,35.0%,81.2%,6.9%,11.9%,2490
Texas,Swisher,29.8%,46.3%,88.9%,6.1%,5.0%,2495
Texas,Tarrant,40.3%,24.5%,72.7%,25.3%,2.0%,2500
Texas,Taylor,34.6%,31.8%,76.7%,17.6%,5.7%,2508
Texas,Terrell,26.3%,40.9%,93.8%,0.0%,6.2%,2518
Texas,Terry,30.9%,39.6%,85.7%,7.0%,7.3%,2522
Texas,Throckmorton,29.9%,48.8%,83.5%,6.8%,9.7%,2525
Texas,Titus,42.2%,33.5%,76.6%,10.4%,13.0%,2531
Texas,Tom Green,34.2%,33.5%,76.8%,18.0%,5.2%,2536
Texas,Travis,31.9%,19.0%,58.2%,38.5%,3.4%,2543
Texas,Trinity,21.6%,52.4%,69.4%,4.1%,26.4%,2553
Texas,Tyler,33.2%,47.3%,81.0%,3.5%,15.6%,2560
Texas,Upshur,33.9%,35.5%,71.7%,5.9%,22.3%,2566
Texas,Upton,42.0%,34.9%,87.6%,2.0%,10.3%,2572
Texas,Uvalde,42.2%,37.2%,75.0%,8.5%,16.6%,2576
Texas,Val Verde,44.5%,35.8%,75.7%,15.3%,9.0%,2582
Texas,Van Zandt,34.0%,41.9%,71.0%,4.4%,24.6%,2586
Texas,Victoria,38.3%,32.8%,72.6%,17.7%,9.7%,2595
Texas,Walker,26.7%,30.5%,51.0%,28.4%,20.6%,2603
Texas,Waller,37.9%,28.6%,64.3%,11.4%,24.4%,2606
Texas,Ward,38.0%,37.5%,77.9%,10.9%,11.2%,2610
Texas,Washington,28.1%,39.8%,76.3%,12.2%,11.6%,2613
Texas,Webb,57.7%,28.7%,70.8%,19.5%,9.6%,2616
Texas,Wharton,36.6%,36.0%,75.7%,11.6%,12.7%,2618
Texas,Wheeler,33.1%,39.6%,87.9%,1.9%,10.2%,2623
Texas,Wichita,35.5%,31.8%,76.1%,19.9%,4.0%,2632
Texas,Wilbarger,37.7%,35.8%,82.1%,13.7%,4.2%,2634
Texas,Willacy,44.9%,38.8%,81.8%,7.6%,10.6%,2639
Texas,Williamson,42.9%,23.2%,78.6%,18.2%,3.2%,2640
Texas,Wilson,41.6%,34.1%,69.0%,3.7%,27.2%,2641
Texas,Winkler,35.3%,38.2%,88.5%,4.0%,7.5%,2642
Texas,Wise,40.4%,32.9%,67.2%,4.9%,27.9%,2643
Texas,Wood,27.4%,51.0%,77.3%,4.3%,18.4%,2644
Texas,Yoakum,47.5%,27.7%,83.6%,1.5%,14.9%,2645
Texas,Young,31.0%,38.1%,79.5%,9.6%,10.9%,2646
Texas,Zapata,56.3%,32.5%,68.9%,2.9%,28.2%,2650
Texas,Zavala,40.2%,38.2%,70.9%,15.6%,13.5%,2651
Utah,Beaver,38.9%,40.7%,88.6%,4.3%,7.1%,2653
Utah,Box Elder,46.1%,30.0%,86.2%,10.0%,3.8%,2658
Utah,Cache,44.7%,21.8%,72.1%,25.2%,2.7%,2661
Utah,Carbon,34.7%,35.7%,74.2%,12.8%,13.0%,2665
Utah,Daggett,20.2%,44.3%,70.5%,2.6%,27.0%,2668
Utah,Davis,49.1%,23.8%,81.9%,15.0%,3.0%,2671
Utah,Duchesne,47.6%,27.9%,71.6%,12.1%,16.3%,2672
Utah,Emery,40.1%,30.0%,73.9%,4.7%,21.4%,2673
Utah,Garfield,34.4%,37.5%,79.2%,6.0%,14.8%,2674
Utah,Grand,33.1%,34.3%,65.2%,13.1%,21.8%,2675
Utah,Iron,42.1%,26.0%,70.2%,22.7%,7.1%,2676
Utah,Juab,51.2%,29.2%,88.0%,7.9%,4.0%,2677
Utah,Kane,31.5%,38.4%,75.5%,5.7%,18.7%,2678
Utah,Millard,41.6%,36.9%,86.9%,4.2%,8.8%,2680
Utah,Morgan,48.2%,32.4%,92.5%,5.6%,1.8%,2681
Utah,Piute,27.8%,56.2%,95.9%,0.0%,4.1%,2685
Utah,Rich,31.6%,40.2%,87.9%,1.0%,11.0%,2687
Utah,Salt Lake,39.9%,25.1%,72.4%,25.5%,2.1%,2690
Utah,San Juan,41.7%,33.2%,70.1%,6.2%,23.7%,2694
Utah,Sanpete,41.2%,36.0%,85.7%,7.5%,6.8%,2697
Utah,Sevier,41.9%,36.3%,88.0%,5.9%,6.1%,2702
Utah,Summit,39.8%,22.2%,80.0%,16.9%,3.2%,2703
Utah,Tooele,50.1%,22.9%,85.1%,9.8%,5.2%,2707
Utah,Uintah,46.4%,25.6%,73.6%,12.8%,13.6%,2539
Utah,Utah,50.3%,21.6%,76.4%,21.9%,1.8%,2555
Utah,Wasatch,49.0%,25.8%,89.5%,7.8%,2.7%,2567
Utah,Washington,36.3%,39.6%,79.7%,13.6%,6.7%,2577
Utah,Wayne,40.9%,37.6%,84.3%,2.6%,13.1%,2580
Utah,Weber,41.3%,27.7%,78.1%,18.1%,3.8%,2587
Vermont,Addison,31.5%,35.0%,76.5%,13.5%,9.9%,2590
Vermont,Bennington,28.3%,38.5%,70.4%,21.2%,8.4%,2591
Vermont,Caledonia,31.2%,36.2%,71.6%,20.0%,8.4%,2596
Vermont,Chittenden,29.9%,27.5%,62.1%,33.9%,4.0%,2599
Vermont,Essex,24.7%,43.1%,76.3%,10.2%,13.5%,2604
Vermont,Franklin,35.9%,29.9%,74.3%,17.3%,8.4%,2607
Vermont,Grand Isle,34.0%,35.7%,79.9%,6.5%,13.6%,2609
Vermont,Lamoille,32.0%,29.0%,69.8%,19.4%,10.8%,2611
Vermont,Orange,28.9%,36.0%,79.7%,9.8%,10.4%,2612
Vermont,Orleans,29.6%,39.3%,74.5%,15.3%,10.3%,2614
Vermont,Rutland,28.3%,36.8%,65.4%,26.5%,8.0%,2615
Vermont,Washington,29.4%,32.9%,68.6%,25.4%,6.0%,2617
Vermont,Windham,29.3%,37.2%,69.3%,23.8%,6.9%,2620
Vermont,Windsor,26.4%,36.9%,71.6%,20.6%,7.8%,2625
Virginia,Accomack,27.9%,41.7%,74.7%,4.7%,20.6%,2719
Virginia,Albemarle,29.7%,32.8%,74.0%,22.7%,3.3%,2728
Virginia,Alleghany,30.0%,44.1%,84.0%,7.6%,8.4%,2733
Virginia,Amelia,32.7%,38.3%,79.2%,2.8%,18.0%,2741
Virginia,Amherst,31.3%,40.4%,78.6%,10.0%,11.4%,2746
Virginia,Appomattox,37.3%,41.1%,74.9%,4.7%,20.4%,2749
Virginia,Arlington,20.4%,20.7%,40.8%,59.0%,0.3%,2753
Virginia,Augusta,31.0%,38.6%,81.8%,6.7%,11.5%,2758
Virginia,Bath,27.0%,42.2%,84.4%,1.4%,14.1%,2763
Virginia,Bedford County,31.3%,36.1%,79.7%,4.0%,16.3%,2769
Virginia,Bland,27.0%,46.4%,70.6%,1.9%,27.5%,2772
Virginia,Botetourt,30.9%,39.6%,88.3%,3.5%,8.2%,2776
Virginia,Brunswick,27.5%,43.8%,71.4%,4.2%,24.4%,2777
Virginia,Buchanan,28.9%,40.3%,65.3%,0.9%,33.7%,2784
Virginia,Buckingham,26.2%,47.1%,66.5%,4.9%,28.7%,2785
Virginia,Campbell,31.4%,37.0%,70.9%,10.3%,18.8%,2788
Virginia,Caroline,37.6%,34.8%,88.5%,2.3%,9.2%,2793
Virginia,Carroll,28.0%,42.6%,68.3%,4.1%,27.5%,2797
Virginia,Charles City,23.7%,43.9%,81.9%,2.2%,15.8%,2806
Virginia,Charlotte,32.2%,43.8%,73.0%,4.8%,22.2%,2810
Virginia,Chesterfield,39.8%,28.2%,85.4%,12.6%,2.0%,2816
Virginia,Clarke,32.1%,38.4%,91.5%,7.9%,0.5%,2819
Virginia,Craig,36.7%,36.3%,81.8%,1.8%,16.4%,2820
Virginia,Culpeper,41.1%,31.7%,85.4%,11.0%,3.6%,2824
Virginia,Cumberland,29.5%,43.2%,75.9%,5.7%,18.5%,2827
Virginia,Dickenson,25.2%,40.2%,62.2%,4.9%,32.8%,2832
Virginia,Dinwiddie,33.5%,35.5%,84.0%,2.7%,13.3%,2838
Virginia,Essex,33.5%,40.8%,78.6%,8.8%,12.5%,2842
Virginia,Fairfax County,36.5%,27.8%,73.5%,25.8%,0.6%,2849
Virginia,Fauquier,35.7%,33.5%,92.8%,5.8%,1.4%,2853
Virginia,Floyd,28.5%,42.4%,77.4%,3.4%,19.2%,2856
Virginia,Fluvanna,30.1%,37.1%,94.6%,2.1%,3.4%,2858
Virginia,Franklin County,30.3%,38.4%,78.3%,5.1%,16.6%,2862
Virginia,Frederick,37.9%,31.6%,85.0%,5.7%,9.2%,2868
Virginia,Giles,32.0%,40.6%,77.5%,6.5%,15.9%,2873
Virginia,Gloucester,34.2%,35.1%,83.0%,5.7%,11.3%,2887
Virginia,Goochland,23.8%,45.3%,93.0%,1.0%,6.0%,2892
Virginia,Grayson,24.3%,43.0%,71.8%,3.2%,25.0%,2896
Virginia,Greene,37.2%,30.2%,88.8%,3.0%,8.2%,2899
Virginia,Greensville,33.6%,41.9%,74.6%,2.6%,22.8%,2902
Virginia,Halifax,29.7%,43.7%,74.5%,5.6%,20.0%,2904
Virginia,Hanover,39.5%,32.3%,90.1%,7.7%,2.3%,2909
Virginia,Henrico,34.3%,28.6%,73.2%,26.5%,0.4%,2915
Virginia,Henry,29.5%,43.1%,72.6%,7.8%,19.6%,2918
Virginia,Highland,17.7%,50.3%,94.9%,2.0%,3.1%,2920
Virginia,Isle of Wight,32.7%,36.2%,80.0%,6.8%,13.2%,2925
Virginia,James City,30.2%,42.4%,81.7%,13.9%,4.4%,2930
Virginia,King and Queen,23.7%,41.6%,82.6%,0.0%,17.4%,2936
Virginia,King George,42.9%,28.9%,82.3%,9.6%,8.1%,2938
Virginia,King William,36.2%,33.4%,88.2%,4.6%,7.2%,2943
Virginia,Lancaster,23.2%,56.7%,86.6%,6.1%,7.2%,2948
Virginia,Lee,31.4%,41.7%,74.8%,5.9%,19.3%,2950
Virginia,Loudoun,46.3%,19.5%,84.9%,14.7%,0.4%,2952
Virginia,Louisa,32.7%,34.3%,83.8%,4.2%,11.9%,2953
Virginia,Lunenburg,28.6%,43.3%,78.6%,2.4%,19.0%,2954
Virginia,Madison,32.1%,43.4%,96.5%,1.6%,1.9%,2955
Virginia,Mathews,26.2%,50.0%,85.8%,3.2%,10.9%,2962
Virginia,Mecklenburg,27.2%,44.5%,74.5%,4.9%,20.6%,2964
Virginia,Middlesex,22.8%,52.6%,86.8%,1.6%,11.6%,2965
Virginia,Montgomery,25.4%,24.7%,62.3%,27.0%,10.7%,2966
Virginia,Nelson,24.2%,45.1%,78.4%,4.2%,17.4%,2968
Virginia,New Kent,34.7%,33.8%,94.5%,0.3%,5.2%,2971
Virginia,Northampton,23.3%,49.6%,80.7%,5.2%,14.1%,2982
Virginia,Northumberland,23.5%,58.5%,87.4%,2.3%,10.4%,2983
Virginia,Nottoway,36.7%,41.8%,77.5%,6.2%,16.3%,2984
Virginia,Orange,32.9%,39.7%,86.4%,6.2%,7.4%,2985
Virginia,Page,28.5%,41.1%,81.6%,6.8%,11.6%,2986
Virginia,Patrick,27.1%,44.9%,73.1%,3.9%,23.0%,2987
Virginia,Pittsylvania,30.5%,39.7%,73.5%,4.1%,22.5%,2988
Virginia,Powhatan,33.8%,39.2%,95.4%,1.1%,3.5%,2989
Virginia,Prince Edward,26.9%,38.1%,63.0%,16.9%,20.1%,2990
Virginia,Prince George,38.5%,30.3%,84.2%,6.2%,9.6%,2991
Virginia,Prince William,46.6%,21.8%,83.6%,15.4%,1.0%,2992
Virginia,Pulaski,26.5%,40.4%,74.3%,12.6%,13.1%,2993
Virginia,Rappahannock,31.7%,41.8%,95.6%,1.1%,3.3%,2994
Virginia,Richmond County,28.7%,51.1%,83.9%,6.2%,9.9%,2995
Virginia,Roanoke County,31.4%,37.0%,80.9%,17.6%,1.5%,2996
Virginia,Rockbridge,29.2%,42.9%,82.2%,4.6%,13.2%,2997
Virginia,Rockingham,34.3%,36.1%,80.3%,8.7%,11.0%,2998
Virginia,Russell,33.9%,40.3%,65.8%,5.9%,28.4%,2999
Virginia,Scott,28.4%,42.9%,76.2%,5.4%,18.4%,2585
Virginia,Shenandoah,30.1%,41.2%,83.2%,12.9%,3.9%,2594
Virginia,Smyth,27.8%,40.0%,68.2%,8.5%,23.3%,2600
Virginia,Southampton,33.4%,40.3%,82.2%,2.6%,15.2%,2608
Virginia,Spotsylvania,45.1%,26.5%,88.1%,6.5%,5.3%,2619
Virginia,Stafford,47.0%,22.7%,88.4%,8.6%,3.0%,2629
Virginia,Surry,30.8%,41.0%,80.2%,3.7%,16.1%,2636
Virginia,Sussex,27.3%,44.8%,68.5%,8.0%,23.5%,2647
Virginia,Tazewell,30.4%,40.2%,68.7%,7.0%,24.3%,2656
Virginia,Warren,34.9%,32.8%,85.9%,11.3%,2.8%,2662
Virginia,Washington,29.2%,40.2%,72.3%,10.5%,17.2%,2667
Virginia,Westmoreland,25.2%,48.9%,85.1%,4.5%,10.4%,2684
Virginia,Wise,30.8%,36.2%,68.7%,8.0%,23.3%,2695
Virginia,Wythe,27.0%,40.0%,71.1%,6.6%,22.3%,2699
Virginia,York,40.2%,31.6%,84.4%,14.3%,1.3%,2709
Virginia,Alexandria,20.1%,22.0%,38.8%,60.9%,0.3%,2712
Virginia,Bedford City,31.1%,34.6%,72.4%,23.7%,3.9%,2713
Virginia,Bristol,27.1%,40.6%,71.1%,25.9%,3.0%,2716
Virginia,Buena Vista,29.5%,41.3%,81.7%,15.0%,3.3%,2720
Virginia,Charlottesville,20.9%,25.0%,57.5%,41.7%,0.8%,2722
Virginia,Chesapeake,41.5%,29.1%,81.4%,16.3%,2.3%,2724
Virginia,Colonial Heights,28.9%,41.8%,82.7%,17.1%,0.2%,2727
Virginia,Covington,25.0%,39.9%,83.1%,8.7%,8.2%,2729
Virginia,Danville,29.5%,39.5%,72.8%,23.6%,3.7%,2732
Virginia,Emporia,27.3%,39.7%,72.4%,23.2%,4.4%,2736
Virginia,Fairfax City,29.1%,30.9%,74.8%,24.6%,0.6%,2737
Virginia,Falls Church,36.4%,31.2%,65.1%,34.9%,0.0%,2740
Virginia,Franklin City,33.9%,38.8%,70.3%,29.1%,0.6%,2744
Virginia,Fredericksburg,24.8%,30.2%,53.2%,46.3%,0.5%,2745
Virginia,Galax,24.6%,40.5%,64.0%,16.5%,19.5%,2747
