County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Virginia,Montgomery,14.4%,18.7%,18.6%,32.1%,10.1%,6.2%,6.0%,30.7%,36.3%,27.0%,2966
Virginia,Nelson,16.6%,20.8%,11.5%,20.3%,14.7%,16.2%,7.4%,26.0%,36.7%,29.8%,2968
Virginia,New Kent,25.0%,20.7%,22.9%,24.9%,3.9%,2.5%,1.5%,15.7%,39.3%,43.5%,2971
Virginia,Northampton,7.6%,11.3%,12.4%,28.3%,16.9%,23.4%,11.1%,37.6%,33.6%,17.8%,2982
Virginia,Northumberland,12.4%,21.2%,13.4%,27.0%,14.1%,11.9%,3.0%,25.4%,42.1%,29.4%,2983
Virginia,Nottoway,10.2%,13.5%,13.8%,25.4%,20.1%,17.0%,12.2%,34.3%,32.5%,21.0%,2984
Virginia,Orange,20.1%,20.8%,12.0%,26.4%,10.0%,10.6%,3.6%,23.6%,45.9%,26.9%,2985
Virginia,Page,8.6%,13.2%,15.6%,30.3%,14.5%,17.8%,4.1%,27.7%,30.2%,37.9%,2986
Virginia,Patrick,7.6%,18.6%,15.6%,34.1%,16.0%,8.0%,4.4%,25.7%,34.7%,35.2%,2987
Virginia,Pittsylvania,11.8%,22.1%,16.7%,28.3%,13.8%,7.3%,6.2%,26.8%,33.4%,33.6%,2988
Virginia,Powhatan,23.6%,32.2%,12.5%,23.4%,4.6%,3.6%,1.6%,15.1%,41.4%,41.9%,2989
Virginia,Prince Edward,13.1%,26.0%,12.0%,24.9%,13.0%,11.0%,5.8%,31.4%,35.0%,27.8%,2990
Virginia,Prince George,19.5%,22.9%,19.2%,29.4%,6.9%,2.1%,2.1%,20.4%,39.1%,38.4%,2991
Virginia,Prince William,29.1%,18.4%,20.8%,26.3%,4.2%,1.2%,3.1%,23.9%,43.2%,29.7%,2992
Virginia,Pulaski,8.1%,13.6%,13.6%,31.1%,22.3%,11.3%,8.1%,28.8%,36.8%,26.4%,2993
Virginia,Rappahannock,8.2%,12.8%,15.4%,27.4%,7.4%,28.8%,5.1%,14.8%,41.6%,38.5%,2994
Virginia,Richmond County,4.2%,22.9%,10.6%,33.7%,16.7%,11.9%,4.8%,28.1%,34.6%,32.6%,2995
Virginia,Roanoke County,10.8%,14.5%,15.8%,41.7%,13.8%,3.4%,3.5%,29.6%,39.2%,27.7%,2996
Virginia,Rockbridge,6.1%,21.2%,12.9%,28.4%,13.9%,17.4%,4.9%,22.1%,37.7%,35.3%,2997
Virginia,Rockingham,15.0%,16.6%,15.6%,28.7%,10.4%,13.8%,6.4%,23.8%,36.4%,33.4%,2998
Virginia,Russell,5.9%,21.0%,17.3%,32.5%,14.4%,9.0%,9.0%,27.4%,37.0%,26.6%,2999
Virginia,Scott,7.8%,11.9%,15.7%,30.4%,20.7%,13.4%,7.3%,29.7%,36.4%,26.6%,2585
Virginia,Shenandoah,12.5%,15.8%,15.3%,24.3%,10.9%,21.2%,4.8%,25.2%,36.1%,34.0%,2594
Virginia,Smyth,8.3%,16.7%,10.5%,34.1%,19.5%,10.9%,9.2%,30.7%,36.5%,23.6%,2600
Virginia,Southampton,13.8%,18.7%,12.0%,26.0%,15.7%,13.7%,6.4%,25.5%,33.8%,34.3%,2608
Virginia,Spotsylvania,24.0%,30.1%,21.8%,18.6%,3.7%,1.8%,3.3%,21.9%,38.7%,36.2%,2619
Virginia,Stafford,26.7%,28.0%,19.7%,18.4%,4.6%,2.6%,2.5%,21.2%,41.7%,34.6%,2629
Virginia,Surry,11.5%,18.7%,15.0%,27.6%,7.1%,20.2%,4.6%,24.4%,34.8%,36.2%,2636
Virginia,Sussex,6.8%,13.1%,13.7%,38.1%,17.4%,10.9%,11.7%,29.5%,33.5%,25.4%,2647
Virginia,Tazewell,5.4%,14.7%,14.5%,32.8%,20.9%,11.6%,8.9%,29.1%,39.2%,22.7%,2656
Virginia,Warren,14.4%,19.0%,16.8%,24.8%,14.9%,10.1%,4.3%,26.3%,36.0%,33.4%,2662
Virginia,Washington,12.4%,19.5%,17.9%,28.5%,12.9%,8.8%,5.9%,27.0%,40.4%,26.8%,2667
Virginia,Westmoreland,14.8%,15.8%,12.1%,32.0%,16.9%,8.4%,3.0%,30.6%,37.7%,28.7%,2684
Virginia,Wise,8.8%,14.3%,14.8%,31.9%,18.2%,11.9%,9.7%,31.3%,38.6%,20.4%,2695
Virginia,Wythe,6.4%,21.7%,13.9%,29.1%,14.1%,14.9%,6.2%,28.0%,38.3%,27.5%,2699
Virginia,York,17.6%,25.4%,19.6%,26.7%,8.7%,1.9%,2.1%,22.3%,41.4%,34.2%,2709
Virginia,Alexandria,9.6%,11.6%,10.0%,34.7%,24.7%,9.5%,9.9%,52.7%,30.1%,7.2%,2712
Virginia,Bedford City,6.0%,13.4%,9.5%,30.5%,18.3%,22.4%,11.2%,35.7%,30.3%,22.8%,2713
Virginia,Bristol,5.4%,7.1%,11.2%,28.4%,33.0%,14.9%,12.3%,37.7%,35.5%,14.6%,2716
Virginia,Buena Vista,6.8%,3.5%,10.8%,40.7%,25.5%,12.7%,6.5%,44.1%,33.3%,16.1%,2720
Virginia,Charlottesville,10.4%,8.0%,7.4%,29.3%,26.6%,18.3%,11.5%,39.5%,33.0%,16.0%,2722
Virginia,Chesapeake,12.9%,23.7%,23.0%,26.3%,11.3%,2.7%,4.5%,25.4%,41.3%,28.9%,2724
Virginia,Colonial Heights,5.5%,10.7%,8.7%,45.8%,20.6%,8.7%,6.6%,36.8%,36.3%,20.4%,2727
Virginia,Covington,0.5%,6.4%,7.4%,24.6%,32.8%,28.5%,10.4%,38.9%,36.2%,14.5%,2729
Virginia,Danville,1.8%,5.4%,7.4%,37.2%,30.5%,17.7%,17.1%,38.1%,28.0%,16.9%,2732
Virginia,Emporia,7.1%,18.5%,14.5%,24.9%,23.4%,11.7%,16.2%,36.4%,27.9%,19.5%,2736
Virginia,Fairfax City,9.0%,8.8%,6.6%,42.7%,30.5%,2.4%,4.0%,28.7%,46.1%,21.2%,2737
Virginia,Falls Church,9.2%,6.6%,5.8%,30.3%,37.8%,10.3%,9.9%,40.7%,30.6%,18.8%,2740
Virginia,Franklin City,9.0%,15.6%,12.1%,31.4%,18.8%,13.1%,17.5%,29.9%,36.0%,16.6%,2744
Virginia,Fredericksburg,13.2%,7.9%,12.7%,33.7%,15.2%,17.2%,13.0%,43.4%,31.2%,12.3%,2745
Virginia,Galax,4.8%,6.6%,21.1%,32.7%,28.5%,6.1%,11.8%,39.6%,34.7%,14.0%,2747
Virginia,Hampton,7.4%,10.2%,14.9%,37.9%,23.5%,6.1%,7.3%,34.7%,36.3%,21.7%,2751
Virginia,Harrisonburg,14.3%,15.7%,19.8%,28.7%,10.3%,11.2%,7.9%,31.5%,36.6%,24.0%,2755
Virginia,Hopewell,4.2%,5.0%,8.8%,38.8%,30.6%,12.4%,12.2%,42.1%,28.3%,17.5%,2756
Virginia,Lexington,5.0%,6.8%,2.8%,28.1%,23.4%,33.9%,19.4%,33.1%,35.6%,11.8%,2760
Virginia,Lynchburg,9.5%,8.2%,11.9%,30.0%,23.5%,16.9%,13.7%,35.9%,32.5%,17.9%,2762
Virginia,Manassas,8.8%,18.5%,35.8%,27.1%,6.9%,2.9%,7.7%,26.6%,40.6%,25.1%,2765
Virginia,Manassas Park,25.2%,21.9%,7.1%,19.5%,25.6%,0.7%,5.3%,23.8%,38.9%,32.0%,2768
Virginia,Martinsville,2.5%,2.7%,10.2%,42.0%,32.8%,9.8%,15.0%,40.5%,29.1%,15.3%,2771
Virginia,Newport News,6.3%,14.4%,18.2%,37.3%,18.8%,4.9%,10.5%,34.5%,35.4%,19.5%,2775
Virginia,Norfolk,6.4%,6.6%,10.8%,25.3%,35.7%,15.2%,11.4%,41.1%,32.6%,14.9%,2778
Virginia,Norton,5.9%,7.4%,14.3%,33.3%,20.8%,18.3%,9.9%,41.4%,31.7%,17.0%,2780
Virginia,Petersburg,3.1%,2.9%,7.6%,43.2%,23.0%,20.3%,15.3%,44.6%,25.6%,14.5%,2782
Virginia,Poquoson,10.4%,9.1%,22.5%,36.1%,13.8%,8.0%,4.3%,20.3%,37.5%,38.0%,2791
Virginia,Portsmouth,5.5%,7.0%,11.0%,31.5%,33.1%,11.9%,10.0%,37.3%,33.9%,18.7%,2795
Virginia,Radford,10.3%,13.6%,16.2%,27.1%,23.4%,9.5%,6.7%,38.2%,34.5%,20.6%,2799
Virginia,Richmond City,5.7%,3.7%,7.4%,25.0%,26.7%,31.6%,18.1%,42.1%,27.6%,12.2%,2802
Virginia,Roanoke City,5.4%,6.7%,7.8%,26.3%,32.3%,21.5%,13.3%,40.5%,30.8%,15.5%,2805
Virginia,Salem,4.8%,10.8%,14.0%,38.3%,21.9%,10.2%,6.2%,32.0%,38.8%,23.0%,2809
Virginia,Staunton,8.0%,9.3%,8.4%,27.3%,24.7%,22.4%,7.7%,37.1%,33.9%,21.3%,2812
Virginia,Suffolk,25.2%,21.4%,12.1%,22.1%,11.8%,7.4%,5.4%,26.8%,37.0%,30.7%,2815
Virginia,Virginia Beach,9.7%,13.4%,29.0%,38.3%,8.5%,1.1%,3.6%,30.3%,42.7%,23.4%,2826
Virginia,Waynesboro,6.6%,12.1%,12.0%,25.3%,27.9%,16.0%,10.2%,37.5%,35.3%,17.0%,2831
Virginia,Williamsburg,23.3%,12.0%,14.1%,30.2%,12.7%,7.8%,8.9%,40.2%,40.2%,10.8%,2835
Virginia,Winchester,10.8%,12.3%,8.5%,27.6%,22.5%,18.3%,7.7%,42.0%,35.8%,14.5%,2837
Washington,Adams,12.1%,9.9%,10.0%,37.8%,16.9%,13.3%,3.1%,26.1%,42.1%,28.6%,2840
Washington,Asotin,7.3%,17.7%,9.9%,31.9%,22.1%,11.0%,5.4%,29.9%,38.4%,26.3%,2845
Washington,Benton,17.7%,18.4%,8.8%,33.7%,19.0%,2.4%,4.9%,26.5%,37.7%,30.8%,2847
Washington,Chelan,10.2%,18.6%,12.8%,27.1%,16.7%,14.5%,6.3%,27.1%,41.4%,25.2%,2852
Washington,Clallam,13.2%,20.6%,13.9%,31.8%,11.6%,8.8%,5.8%,30.2%,37.6%,26.4%,2861
Washington,Clark,19.0%,27.4%,13.5%,26.8%,8.6%,4.6%,4.5%,28.7%,41.3%,25.5%,2865
Washington,Columbia,6.9%,10.5%,4.1%,25.6%,21.4%,31.4%,5.8%,24.1%,39.4%,30.8%,2869
Washington,Cowlitz,11.0%,16.1%,6.9%,31.6%,19.6%,14.8%,7.1%,28.5%,37.8%,26.6%,2871
Washington,Douglas,13.0%,16.7%,16.1%,32.2%,14.7%,7.3%,2.0%,27.9%,40.7%,29.4%,2877
Washington,Ferry,9.1%,20.5%,19.6%,28.8%,10.4%,11.6%,2.3%,22.5%,41.4%,33.8%,2880
Washington,Franklin,30.2%,12.5%,6.8%,30.1%,15.8%,4.6%,6.2%,25.6%,36.6%,31.5%,2884
Washington,Garfield,1.1%,9.2%,3.1%,19.0%,13.8%,53.7%,5.1%,22.7%,37.8%,34.4%,2886
Washington,Grant,12.0%,20.3%,13.3%,25.0%,25.5%,3.8%,6.4%,29.7%,33.6%,30.4%,2889
Washington,Grays Harbor,8.3%,11.6%,9.6%,31.6%,12.5%,26.5%,6.7%,31.6%,36.8%,24.9%,2894
Washington,Island,16.4%,22.5%,17.5%,29.2%,9.3%,5.1%,2.9%,27.0%,42.2%,28.0%,2898
Washington,Jefferson,15.2%,27.1%,14.3%,27.7%,6.2%,9.5%,5.1%,29.2%,40.1%,25.6%,2905
Washington,King,11.9%,14.1%,15.9%,28.8%,16.1%,13.3%,9.0%,35.3%,36.9%,18.9%,2913
Washington,Kitsap,12.1%,21.9%,17.9%,27.6%,11.8%,8.8%,5.4%,28.4%,39.3%,26.9%,2927
Washington,Kittitas,17.2%,17.4%,14.6%,23.8%,10.2%,16.7%,6.7%,24.4%,40.3%,28.7%,2932
Washington,Klickitat,9.3%,17.0%,11.7%,26.9%,17.7%,17.5%,4.9%,25.8%,41.9%,27.4%,2935
Washington,Lewis,11.6%,17.6%,10.6%,28.1%,13.0%,19.1%,4.8%,27.9%,34.5%,32.9%,2940
Washington,Lincoln,6.1%,14.2%,8.8%,25.1%,17.3%,28.5%,2.1%,24.7%,38.3%,34.9%,2942
Washington,Mason,16.0%,24.0%,17.8%,27.3%,9.2%,5.7%,4.1%,25.4%,39.2%,31.3%,2946
Washington,Okanogan,5.2%,15.3%,13.3%,29.3%,21.9%,15.0%,5.4%,27.6%,36.0%,31.0%,2947
Washington,Pacific,5.2%,20.7%,15.5%,25.4%,11.4%,21.7%,6.6%,29.3%,37.8%,26.3%,2949
Washington,Pend Oreille,9.3%,16.9%,16.0%,28.7%,12.6%,16.4%,6.4%,24.1%,37.6%,31.8%,2951
Washington,Pierce,16.0%,19.0%,14.3%,28.0%,11.9%,10.8%,5.6%,30.3%,38.7%,25.5%,2956
Washington,San Juan,13.7%,27.0%,20.8%,26.3%,6.2%,6.0%,4.7%,32.2%,38.0%,25.1%,2957
Washington,Skagit,16.2%,21.6%,12.3%,23.4%,12.3%,14.2%,4.6%,27.3%,38.9%,29.2%,2958
Washington,Skamania,10.9%,17.6%,15.5%,35.0%,8.4%,12.6%,3.4%,21.9%,40.4%,34.3%,2959
Washington,Snohomish,17.5%,22.2%,17.9%,27.6%,9.1%,5.7%,4.6%,28.3%,39.2%,27.9%,2960
Washington,Spokane,11.8%,14.9%,9.8%,27.4%,20.0%,16.2%,7.2%,30.7%,37.7%,24.4%,2961
Washington,Stevens,12.0%,21.5%,15.5%,29.3%,11.0%,10.7%,5.1%,20.7%,36.8%,37.4%,2963
Washington,Thurston,17.8%,22.1%,17.3%,29.0%,7.5%,6.4%,4.8%,29.9%,39.2%,26.0%,2967
Washington,Wahkiakum,9.1%,23.4%,10.5%,28.4%,11.9%,16.7%,3.5%,28.4%,41.2%,26.9%,2969
Washington,Walla Walla,9.7%,12.3%,8.2%,27.8%,22.0%,20.0%,6.5%,32.4%,36.9%,24.2%,2970
Washington,Whatcom,17.3%,21.9%,13.4%,24.6%,9.0%,13.8%,6.8%,31.5%,37.6%,24.2%,2972
Washington,Whitman,13.0%,12.1%,8.5%,30.4%,14.7%,21.3%,6.8%,34.9%,36.9%,21.3%,2973
Washington,Yakima,9.3%,14.3%,11.3%,29.6%,21.2%,14.3%,5.7%,27.2%,37.5%,29.6%,2974
West Virginia,Barbour,4.3%,12.3%,14.5%,31.1%,14.1%,23.7%,8.4%,33.4%,36.0%,22.2%,2975
West Virginia,Berkeley,25.1%,23.7%,14.8%,18.9%,7.8%,9.6%,6.6%,28.2%,40.1%,25.1%,2976
West Virginia,Boone,7.0%,19.2%,17.8%,27.1%,18.4%,10.6%,11.1%,32.8%,35.4%,20.8%,2977
West Virginia,Braxton,8.3%,18.0%,20.2%,25.0%,12.4%,16.1%,10.4%,32.2%,36.0%,21.4%,2978
West Virginia,Brooke,3.8%,7.9%,7.4%,29.4%,28.6%,22.9%,9.1%,34.5%,39.0%,17.4%,2979
West Virginia,Cabell,6.9%,9.9%,10.5%,28.1%,25.6%,19.0%,12.6%,35.5%,35.8%,16.1%,2980
West Virginia,Calhoun,5.2%,12.2%,17.8%,31.1%,16.0%,17.7%,10.6%,33.6%,38.6%,17.2%,2981
West Virginia,Clay,6.0%,27.6%,18.9%,23.1%,13.3%,11.1%,10.8%,34.3%,34.8%,20.0%,3000
West Virginia,Doddridge,7.1%,14.8%,15.6%,21.2%,11.0%,30.3%,10.8%,27.0%,42.9%,19.2%,3002
West Virginia,Fayette,3.6%,10.0%,11.1%,28.2%,24.7%,22.4%,11.9%,36.4%,34.3%,17.4%,3006
West Virginia,Gilmer,4.2%,14.2%,22.1%,23.8%,10.8%,24.9%,5.4%,40.5%,37.5%,16.6%,3008
West Virginia,Grant,7.1%,19.5%,20.7%,27.6%,12.5%,12.5%,5.9%,24.9%,41.3%,27.9%,3011
West Virginia,Greenbrier,5.9%,13.6%,10.1%,30.3%,22.0%,18.0%,7.1%,31.6%,37.3%,24.0%,3013
West Virginia,Hampshire,5.3%,19.6%,20.5%,34.6%,10.6%,9.3%,6.8%,36.1%,33.6%,23.5%,3016
West Virginia,Hancock,3.8%,8.3%,6.2%,31.3%,33.2%,17.1%,7.0%,39.1%,37.5%,16.3%,3017
West Virginia,Hardy,5.9%,23.1%,21.3%,29.5%,8.1%,11.9%,7.2%,30.3%,39.1%,23.5%,3019
West Virginia,Harrison,5.8%,10.7%,10.9%,24.5%,24.3%,23.8%,10.4%,34.8%,37.0%,17.8%,3021
West Virginia,Jackson,12.1%,16.4%,14.7%,32.8%,13.2%,10.8%,7.2%,29.3%,42.4%,21.2%,3023
West Virginia,Jefferson,19.4%,18.3%,18.2%,26.8%,6.9%,10.3%,4.2%,23.1%,42.5%,30.2%,3026
West Virginia,Kanawha,6.9%,9.3%,9.9%,29.0%,31.8%,13.1%,10.8%,38.9%,35.5%,14.8%,3027
West Virginia,Lewis,4.6%,13.9%,15.3%,28.1%,17.7%,20.3%,9.0%,38.6%,33.4%,19.0%,3029
West Virginia,Lincoln,8.3%,21.0%,19.3%,25.5%,16.6%,9.3%,10.7%,33.0%,37.3%,19.1%,3031
West Virginia,Logan,5.8%,15.7%,15.6%,26.2%,19.8%,16.8%,10.7%,35.0%,40.7%,13.6%,3034
West Virginia,McDowell,3.2%,7.5%,11.1%,20.5%,23.7%,34.0%,16.7%,36.0%,34.2%,13.2%,3037
West Virginia,Marion,4.6%,10.0%,9.1%,25.1%,24.0%,27.3%,7.0%,36.1%,37.8%,19.0%,3039
West Virginia,Marshall,2.7%,8.6%,10.1%,30.4%,21.9%,26.2%,9.5%,38.5%,36.6%,15.5%,3041
West Virginia,Mason,9.2%,16.6%,13.0%,27.8%,22.0%,11.4%,9.2%,31.5%,36.7%,22.6%,3042
West Virginia,Mercer,6.8%,14.6%,12.2%,26.1%,22.0%,18.2%,8.9%,39.1%,36.9%,15.2%,3044
West Virginia,Mineral,4.7%,14.1%,12.3%,33.9%,18.1%,16.9%,9.3%,31.1%,36.8%,22.8%,3046
West Virginia,Mingo,10.4%,21.7%,21.0%,19.9%,16.0%,11.0%,9.9%,37.1%,36.7%,16.3%,3048
West Virginia,Monongalia,16.7%,14.1%,13.2%,27.0%,17.3%,11.8%,6.0%,42.3%,37.1%,14.6%,3050
West Virginia,Monroe,6.6%,17.0%,14.8%,25.1%,14.2%,22.3%,2.5%,27.1%,39.7%,30.7%,3052
West Virginia,Morgan,6.9%,13.0%,16.7%,33.1%,13.7%,16.6%,7.6%,36.4%,32.0%,24.0%,3054
West Virginia,Nicholas,7.8%,18.6%,19.1%,27.8%,17.8%,8.9%,7.6%,27.1%,39.5%,25.8%,3057
West Virginia,Ohio,3.6%,5.6%,7.1%,23.6%,22.2%,37.9%,11.7%,38.4%,33.2%,16.6%,3059
West Virginia,Pendleton,2.8%,14.9%,18.6%,24.8%,11.5%,27.4%,8.8%,26.9%,41.9%,22.4%,3061
West Virginia,Pleasants,6.6%,14.1%,13.2%,26.4%,19.8%,19.9%,9.7%,32.1%,41.5%,16.7%,3064
West Virginia,Pocahontas,5.0%,21.0%,12.9%,26.9%,13.0%,21.3%,6.8%,26.5%,40.7%,26.0%,3066
West Virginia,Preston,6.2%,17.7%,14.9%,27.5%,14.0%,19.7%,6.6%,28.7%,42.1%,22.5%,3068
West Virginia,Putnam,7.7%,26.8%,19.2%,28.8%,10.8%,6.7%,4.2%,27.6%,46.2%,22.0%,3070
West Virginia,Raleigh,7.1%,15.4%,12.3%,30.7%,21.8%,12.7%,9.1%,36.8%,38.6%,15.4%,3073
West Virginia,Randolph,5.1%,15.7%,18.0%,27.9%,16.0%,17.4%,8.5%,32.1%,37.5%,21.9%,3075
West Virginia,Ritchie,5.6%,12.5%,15.3%,23.5%,16.5%,26.6%,7.1%,30.5%,39.9%,22.5%,3077
West Virginia,Roane,4.1%,12.2%,13.4%,32.5%,19.4%,18.4%,13.0%,32.4%,38.1%,16.4%,3079
West Virginia,Summers,4.8%,13.7%,16.6%,20.9%,19.6%,24.5%,10.4%,33.2%,38.6%,17.8%,3080
West Virginia,Taylor,6.2%,14.8%,12.2%,24.0%,17.1%,25.8%,9.6%,32.1%,40.1%,18.2%,3082
West Virginia,Tucker,5.0%,9.9%,16.7%,30.6%,10.2%,27.5%,8.6%,29.7%,40.4%,21.3%,3084
West Virginia,Tyler,5.8%,8.3%,14.5%,24.8%,14.3%,32.4%,8.3%,36.1%,39.3%,16.3%,3085
West Virginia,Upshur,6.4%,13.4%,17.7%,36.6%,12.9%,13.1%,8.8%,35.3%,38.3%,17.7%,3087
West Virginia,Wayne,8.5%,15.1%,16.6%,31.2%,18.0%,10.6%,9.2%,34.9%,38.6%,17.3%,3089
West Virginia,Webster,5.6%,8.4%,20.8%,29.5%,19.5%,16.2%,7.7%,29.2%,35.9%,27.3%,3091
West Virginia,Wetzel,4.1%,8.3%,12.4%,28.1%,22.2%,24.9%,8.8%,32.2%,39.8%,19.2%,3093
West Virginia,Wirt,4.6%,22.6%,21.9%,23.9%,12.5%,14.5%,5.9%,26.3%,44.1%,23.7%,3095
West Virginia,Wood,6.2%,11.6%,12.3%,31.5%,22.6%,15.8%,8.8%,34.2%,39.2%,17.8%,3097
West Virginia,Wyoming,4.4%,15.1%,16.7%,29.5%,23.7%,10.7%,11.2%,30.5%,39.8%,18.5%,3099
Wisconsin,Adams,15.0%,18.1%,15.2%,31.1%,10.1%,10.4%,3.7%,29.4%,41.5%,25.4%,3101
Wisconsin,Ashland,7.3%,11.2%,8.2%,23.0%,12.8%,37.5%,6.4%,36.5%,38.1%,19.0%,3104
Wisconsin,Barron,13.3%,11.3%,11.7%,24.9%,15.9%,22.9%,5.6%,30.7%,38.6%,25.2%,3106
Wisconsin,Bayfield,11.6%,16.1%,11.5%,27.0%,11.9%,21.9%,4.1%,28.5%,41.9%,25.5%,3108
Wisconsin,Brown,13.9%,17.2%,12.7%,27.8%,15.7%,12.7%,5.2%,32.4%,42.8%,19.7%,3111
Wisconsin,Buffalo,11.3%,11.2%,7.6%,21.8%,14.9%,33.2%,4.2%,25.0%,40.1%,30.7%,3113
Wisconsin,Burnett,15.3%,16.5%,13.7%,28.3%,12.6%,13.7%,4.2%,27.7%,41.7%,26.4%,3115
Wisconsin,Calumet,18.5%,19.5%,13.8%,22.5%,8.5%,17.3%,2.9%,22.6%,48.9%,25.6%,3116
Wisconsin,Chippewa,13.6%,13.0%,10.2%,24.2%,18.0%,21.0%,5.2%,27.1%,40.6%,27.1%,3117
Wisconsin,Clark,8.7%,11.0%,8.7%,23.2%,15.6%,32.7%,7.1%,26.1%,37.9%,28.9%,3119
Wisconsin,Columbia,12.7%,17.5%,8.7%,21.4%,11.8%,27.8%,3.7%,27.8%,42.1%,26.3%,3120
Wisconsin,Crawford,7.9%,11.6%,10.2%,26.9%,15.3%,28.1%,6.9%,31.4%,39.6%,22.2%,3122
Wisconsin,Dane,17.3%,16.0%,11.8%,28.6%,13.0%,13.2%,7.7%,35.2%,41.0%,16.2%,3124
Wisconsin,Dodge,10.1%,15.4%,8.2%,21.9%,14.5%,29.9%,3.7%,29.5%,43.0%,23.8%,3126
Wisconsin,Door,13.1%,15.3%,11.4%,22.0%,16.5%,21.7%,4.1%,29.7%,41.0%,25.2%,3131
Wisconsin,Douglas,8.2%,10.1%,8.2%,25.3%,18.1%,30.2%,6.5%,31.9%,37.9%,23.7%,3134
Wisconsin,Dunn,14.7%,18.6%,11.2%,24.9%,11.1%,19.5%,3.8%,27.5%,40.0%,28.7%,3135
Wisconsin,Eau Claire,11.7%,15.0%,11.5%,27.5%,16.6%,17.7%,5.9%,32.4%,40.8%,20.9%,3137
Wisconsin,Florence,7.9%,17.0%,14.7%,24.8%,12.0%,23.5%,3.8%,28.9%,41.2%,26.2%,3138
Wisconsin,Fond du Lac,10.2%,13.3%,9.1%,24.0%,17.9%,25.5%,6.4%,28.9%,42.5%,22.2%,3140
Wisconsin,Forest,12.3%,20.7%,10.7%,25.7%,12.0%,18.6%,4.5%,33.3%,39.5%,22.8%,3141
Wisconsin,Grant,7.7%,10.9%,8.1%,26.8%,14.9%,31.6%,4.6%,28.9%,41.1%,25.3%,3143
Wisconsin,Green,12.9%,14.5%,8.1%,21.6%,13.3%,29.6%,4.2%,26.7%,42.8%,26.2%,3145
Wisconsin,Green Lake,7.3%,14.5%,9.3%,22.7%,17.5%,28.7%,5.1%,31.9%,40.6%,22.3%,3147
Wisconsin,Iowa,12.1%,17.6%,9.6%,18.4%,9.5%,32.8%,4.1%,25.6%,43.3%,27.0%,3148
Wisconsin,Iron,7.4%,11.3%,7.6%,23.5%,20.2%,30.0%,6.6%,30.2%,40.9%,22.3%,3151
Wisconsin,Jackson,12.6%,13.9%,9.9%,24.1%,14.2%,25.3%,7.9%,26.9%,38.8%,26.4%,3153
Wisconsin,Jefferson,13.2%,16.8%,6.7%,24.4%,12.1%,26.8%,4.3%,29.5%,41.6%,24.6%,3154
Wisconsin,Juneau,12.0%,16.2%,12.3%,23.2%,13.8%,22.5%,4.5%,28.8%,41.9%,24.8%,3156
Wisconsin,Kenosha,13.2%,16.5%,7.3%,24.1%,20.3%,18.6%,5.8%,32.9%,40.8%,20.5%,3158
Wisconsin,Kewaunee,11.5%,13.5%,9.1%,20.7%,15.8%,29.5%,4.1%,23.6%,41.9%,30.4%,3160
Wisconsin,La Crosse,11.3%,15.4%,11.1%,26.4%,15.8%,20.0%,7.3%,31.3%,41.8%,19.6%,3161
Wisconsin,Lafayette,6.4%,8.4%,6.5%,22.3%,15.1%,41.3%,3.9%,24.6%,40.1%,31.4%,3163
Wisconsin,Langlade,10.8%,13.4%,11.2%,22.1%,16.0%,26.6%,5.9%,28.9%,40.7%,24.4%,3165
Wisconsin,Lincoln,10.5%,13.0%,11.3%,25.3%,17.6%,22.3%,6.7%,25.4%,41.1%,26.7%,3166
Wisconsin,Manitowoc,7.9%,11.8%,7.1%,23.4%,18.8%,31.0%,5.4%,30.2%,39.6%,24.7%,3169
Wisconsin,Marathon,13.2%,15.0%,9.1%,25.7%,17.3%,19.8%,5.0%,26.4%,43.2%,25.4%,3170
Wisconsin,Marinette,9.5%,12.9%,12.3%,25.2%,17.5%,22.5%,4.9%,31.4%,39.9%,23.8%,3172
Wisconsin,Marquette,12.2%,17.3%,11.7%,27.0%,8.9%,22.9%,3.3%,27.6%,42.9%,26.2%,3174
Wisconsin,Menominee,7.2%,21.2%,34.4%,27.7%,1.7%,7.8%,12.4%,32.6%,28.1%,26.8%,3175
Wisconsin,Milwaukee,4.1%,5.6%,5.7%,22.4%,30.3%,31.8%,13.4%,42.1%,33.5%,11.0%,3177
Wisconsin,Monroe,13.5%,15.9%,11.7%,21.5%,13.6%,23.7%,5.1%,28.5%,40.5%,25.9%,3179
Wisconsin,Oconto,14.7%,19.4%,11.7%,20.7%,13.4%,20.1%,3.0%,26.0%,39.9%,31.0%,3181
Wisconsin,Oneida,15.2%,16.3%,12.1%,29.9%,13.9%,12.6%,3.4%,30.6%,45.0%,21.0%,3183
Wisconsin,Outagamie,14.5%,17.8%,11.9%,23.5%,16.2%,16.1%,5.1%,29.2%,44.3%,21.4%,3185
Wisconsin,Ozaukee,11.2%,17.4%,10.3%,32.5%,16.9%,11.8%,3.4%,26.2%,47.9%,22.5%,3186
Wisconsin,Pepin,12.9%,11.0%,9.2%,20.9%,15.6%,30.4%,5.9%,25.1%,38.3%,30.8%,3188
