County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Lipscomb County,Texas,38.9%,40.9%,87.3%,5.9%,6.8%
Live Oak County,Texas,24.7%,53.7%,68.3%,5.7%,26.1%
Llano County,Texas,16.6%,70.2%,73.4%,11.6%,15.0%
Loving County,Texas,8.1%,87.1%,88.7%,3.2%,8.1%
Lubbock County,Texas,30.7%,32.6%,71.1%,24.1%,4.8%
Lynn County,Texas,36.4%,44.1%,87.1%,9.0%,4.0%
McCulloch County,Texas,23.9%,53.1%,79.8%,12.3%,7.9%
McLennan County,Texas,33.1%,37.7%,71.9%,22.9%,5.2%
McMullen County,Texas,44.5%,44.1%,76.0%,1.7%,22.3%
Madison County,Texas,36.1%,47.3%,69.4%,5.8%,24.8%
Marion County,Texas,22.2%,55.2%,61.3%,4.2%,34.6%
Martin County,Texas,37.4%,36.2%,80.3%,1.9%,17.8%
Mason County,Texas,26.1%,53.4%,89.6%,1.3%,9.1%
Matagorda County,Texas,27.9%,41.1%,68.8%,14.5%,16.7%
Maverick County,Texas,46.9%,38.9%,71.5%,18.7%,9.8%
Medina County,Texas,34.7%,49.1%,67.2%,6.7%,26.1%
Menard County,Texas,17.1%,59.3%,77.6%,10.1%,12.3%
Midland County,Texas,40.4%,30.1%,69.3%,21.1%,9.6%
Milam County,Texas,28.6%,50.6%,78.6%,6.8%,14.5%
Mills County,Texas,29.0%,61.6%,89.0%,2.7%,8.3%
Mitchell County,Texas,33.4%,46.9%,79.9%,10.2%,9.9%
Montague County,Texas,30.4%,49.4%,80.0%,4.7%,15.3%
Montgomery County,Texas,38.0%,35.2%,71.1%,16.0%,12.9%
Moore County,Texas,42.4%,33.8%,70.7%,12.7%,16.6%
Morris County,Texas,31.7%,49.2%,81.1%,7.8%,11.1%
Motley County,Texas,30.8%,58.7%,94.2%,0.8%,5.0%
Nacogdoches County,Texas,32.9%,36.5%,61.7%,21.4%,16.9%
Navarro County,Texas,34.7%,42.4%,72.6%,10.1%,17.4%
Newton County,Texas,32.3%,48.7%,58.1%,2.2%,39.7%
Nolan County,Texas,34.3%,44.1%,83.2%,10.8%,6.0%
Nueces County,Texas,33.9%,39.0%,71.6%,25.2%,3.2%
Ochiltree County,Texas,45.3%,33.9%,78.8%,8.3%,12.9%
Oldham County,Texas,37.8%,38.4%,75.4%,9.8%,14.9%
Orange County,Texas,35.0%,40.1%,71.9%,10.0%,18.1%
Palo Pinto County,Texas,27.8%,48.8%,74.8%,9.3%,15.9%
Panola County,Texas,34.9%,47.7%,64.5%,6.9%,28.6%
Parker County,Texas,35.8%,41.4%,78.0%,6.9%,15.1%
Parmer County,Texas,35.4%,41.2%,81.9%,8.7%,9.4%
Pecos County,Texas,34.8%,39.4%,70.6%,11.0%,18.4%
Polk County,Texas,31.1%,50.8%,67.9%,6.3%,25.8%
Potter County,Texas,36.9%,34.2%,72.3%,21.1%,6.6%
Presidio County,Texas,15.1%,53.1%,65.1%,12.5%,22.4%
Rains County,Texas,27.0%,55.8%,78.3%,4.4%,17.4%
Randall County,Texas,33.3%,38.2%,77.4%,16.7%,5.9%
Reagan County,Texas,45.2%,26.9%,63.6%,10.6%,25.9%
Real County,Texas,15.5%,69.0%,68.7%,2.2%,29.0%
Red River County,Texas,23.4%,53.6%,76.3%,6.5%,17.3%
Reeves County,Texas,34.8%,33.6%,73.5%,11.4%,15.0%
Refugio County,Texas,29.1%,52.8%,83.4%,6.5%,10.1%
Roberts County,Texas,25.5%,53.2%,82.7%,1.5%,15.8%
Robertson County,Texas,33.6%,47.3%,73.2%,8.9%,17.9%
Rockwall County,Texas,45.4%,32.8%,88.5%,8.1%,3.4%
Runnels County,Texas,29.2%,48.0%,88.9%,4.6%,6.5%
Rusk County,Texas,35.4%,46.0%,75.8%,6.1%,18.0%
Sabine County,Texas,21.2%,58.9%,62.4%,3.3%,34.2%
San Augustine County,Texas,34.4%,51.1%,64.2%,6.6%,29.3%
San Jacinto County,Texas,28.8%,57.4%,72.9%,2.2%,24.8%
San Patricio County,Texas,37.5%,39.7%,77.1%,14.2%,8.8%
San Saba County,Texas,27.2%,57.9%,86.1%,3.8%,10.1%
Schleicher County,Texas,27.8%,50.9%,79.0%,6.9%,14.2%
Scurry County,Texas,32.2%,39.5%,88.0%,5.4%,6.6%
Shackelford County,Texas,32.5%,43.7%,76.2%,4.5%,19.2%
Shelby County,Texas,37.3%,45.7%,60.7%,6.5%,32.8%
Sherman County,Texas,41.2%,38.8%,88.8%,3.3%,7.9%
Smith County,Texas,33.2%,41.0%,74.8%,15.8%,9.5%
Somervell County,Texas,40.0%,46.7%,82.3%,5.4%,12.3%
Starr County,Texas,46.6%,39.4%,81.8%,8.4%,9.8%
Stephens County,Texas,29.5%,46.5%,80.8%,12.5%,6.7%
Sterling County,Texas,36.0%,27.7%,70.4%,1.2%,28.4%
Stonewall County,Texas,38.4%,49.7%,85.3%,3.0%,11.7%
Sutton County,Texas,34.5%,41.0%,68.6%,13.4%,17.9%
Swisher County,Texas,36.1%,45.2%,85.1%,6.1%,8.8%
Tarrant County,Texas,37.2%,32.2%,72.2%,26.0%,1.8%
Taylor County,Texas,33.6%,35.8%,74.1%,21.4%,4.5%
Terrell County,Texas,13.1%,74.0%,100.0%,0.0%,0.0%
Terry County,Texas,31.4%,37.5%,82.2%,7.0%,10.9%
Throckmorton County,Texas,21.0%,53.3%,72.1%,15.1%,12.8%
Titus County,Texas,38.9%,39.8%,69.7%,14.7%,15.6%
Tom Green County,Texas,31.9%,39.0%,76.6%,17.9%,5.5%
Travis County,Texas,29.4%,26.0%,59.1%,37.8%,3.1%
Trinity County,Texas,23.5%,54.0%,63.9%,6.2%,29.9%
Tyler County,Texas,26.1%,53.5%,73.3%,3.5%,23.2%
Upshur County,Texas,31.3%,46.6%,74.8%,5.5%,19.6%
Upton County,Texas,28.0%,43.2%,79.8%,3.8%,16.4%
Uvalde County,Texas,36.5%,44.2%,71.7%,12.8%,15.6%
Val Verde County,Texas,43.4%,41.9%,73.4%,17.2%,9.3%
Van Zandt County,Texas,31.2%,49.9%,73.3%,5.2%,21.5%
Victoria County,Texas,32.7%,40.7%,72.4%,17.7%,9.9%
Walker County,Texas,27.4%,35.4%,48.6%,31.5%,19.9%
Waller County,Texas,34.6%,37.8%,65.0%,14.8%,20.2%
Ward County,Texas,38.8%,34.9%,75.6%,9.7%,14.8%
Washington County,Texas,24.0%,53.0%,75.8%,11.8%,12.4%
Webb County,Texas,51.9%,33.3%,71.2%,19.6%,9.2%
Wharton County,Texas,35.5%,44.1%,76.9%,13.5%,9.6%
Wheeler County,Texas,34.9%,42.6%,83.6%,6.3%,10.0%
Wichita County,Texas,29.4%,39.1%,76.4%,20.0%,3.6%
Wilbarger County,Texas,27.9%,44.4%,78.3%,15.6%,6.2%
Willacy County,Texas,42.2%,46.5%,80.2%,9.6%,10.1%
Williamson County,Texas,39.1%,32.1%,78.2%,19.8%,2.0%
Wilson County,Texas,39.8%,42.9%,71.0%,3.2%,25.8%
Winkler County,Texas,41.3%,42.0%,87.5%,3.2%,9.2%
Wise County,Texas,37.7%,41.8%,71.9%,4.4%,23.8%
Wood County,Texas,23.7%,58.0%,76.3%,6.3%,17.4%
Yoakum County,Texas,47.4%,34.5%,84.2%,1.7%,14.1%
Young County,Texas,31.0%,44.3%,83.1%,8.1%,8.8%
Zapata County,Texas,40.9%,39.7%,66.6%,9.6%,23.8%
Zavala County,Texas,40.8%,44.6%,65.5%,9.9%,24.6%
Beaver County,Utah,39.7%,40.6%,92.8%,4.4%,2.8%
Box Elder County,Utah,42.3%,37.4%,82.9%,13.8%,3.3%
Cache County,Utah,40.5%,27.9%,73.2%,24.6%,2.2%
Carbon County,Utah,33.2%,44.8%,80.2%,12.2%,7.6%
Daggett County,Utah,32.0%,29.6%,57.4%,0.0%,42.6%
Davis County,Utah,45.3%,31.4%,82.2%,15.0%,2.7%
Duchesne County,Utah,44.7%,32.5%,79.6%,9.5%,10.9%
Emery County,Utah,35.7%,43.0%,79.7%,7.9%,12.4%
Garfield County,Utah,25.3%,48.8%,88.0%,2.6%,9.5%
Grand County,Utah,31.6%,38.9%,61.9%,18.7%,19.4%
Iron County,Utah,36.9%,34.4%,77.0%,18.5%,4.5%
Juab County,Utah,44.6%,37.8%,88.0%,9.0%,3.0%
Kane County,Utah,23.8%,51.9%,87.4%,3.6%,9.0%
Millard County,Utah,42.2%,42.3%,88.4%,7.6%,4.0%
Morgan County,Utah,50.1%,32.9%,96.2%,3.3%,0.6%
Piute County,Utah,18.8%,72.4%,96.6%,1.0%,2.4%
Rich County,Utah,39.8%,43.1%,82.7%,4.7%,12.6%
Salt Lake County,Utah,36.5%,32.1%,71.9%,26.2%,1.8%
San Juan County,Utah,35.9%,44.6%,77.5%,5.5%,17.0%
Sanpete County,Utah,40.2%,41.5%,87.0%,8.6%,4.5%
Sevier County,Utah,39.1%,42.2%,86.6%,7.0%,6.4%
Summit County,Utah,34.2%,36.5%,84.1%,14.4%,1.5%
Tooele County,Utah,50.4%,30.5%,87.3%,7.9%,4.8%
Uintah County,Utah,40.9%,31.8%,78.0%,11.6%,10.4%
Utah County,Utah,47.8%,25.7%,75.6%,23.0%,1.4%
Wasatch County,Utah,40.4%,34.6%,87.6%,11.6%,0.8%
Washington County,Utah,33.4%,48.6%,82.8%,12.4%,4.8%
Wayne County,Utah,35.7%,52.7%,84.9%,6.7%,8.3%
Weber County,Utah,39.8%,33.0%,79.4%,17.4%,3.2%
Addison County,Vermont,23.4%,46.8%,75.6%,15.6%,8.7%
Bennington County,Vermont,24.1%,52.6%,73.8%,20.7%,5.5%
Caledonia County,Vermont,27.2%,48.2%,72.9%,18.3%,8.8%
Chittenden County,Vermont,24.8%,37.2%,60.0%,35.4%,4.6%
Essex County,Vermont,23.0%,53.4%,79.3%,8.0%,12.6%
Franklin County,Vermont,29.9%,40.7%,77.3%,15.3%,7.4%
Grand Isle County,Vermont,24.6%,49.9%,84.5%,5.8%,9.6%
Lamoille County,Vermont,25.4%,40.7%,68.2%,22.2%,9.6%
Orange County,Vermont,26.8%,46.8%,79.7%,9.6%,10.7%
Orleans County,Vermont,26.5%,47.1%,75.6%,14.5%,9.9%
Rutland County,Vermont,21.1%,48.0%,71.5%,22.4%,6.1%
Washington County,Vermont,25.5%,43.3%,67.6%,26.8%,5.6%
Windham County,Vermont,21.8%,48.8%,70.0%,23.6%,6.4%
Windsor County,Vermont,23.3%,49.5%,74.8%,18.1%,7.1%
Accomack County,Virginia,23.1%,50.5%,79.4%,4.4%,16.2%
Albemarle County,Virginia,27.0%,44.2%,73.4%,23.2%,3.4%
Alleghany County,Virginia,26.1%,51.6%,80.8%,8.6%,10.6%
Amelia County,Virginia,29.7%,45.4%,77.1%,1.8%,21.1%
Amherst County,Virginia,26.2%,49.7%,82.2%,7.8%,10.0%
Appomattox County,Virginia,31.6%,46.2%,76.9%,3.6%,19.5%
Arlington County,Virginia,20.9%,24.0%,36.5%,63.4%,0.1%
Augusta County,Virginia,28.4%,48.9%,84.1%,7.8%,8.2%
Bath County,Virginia,20.8%,51.1%,82.0%,5.8%,12.2%
Bedford County,Virginia,27.2%,49.1%,80.4%,7.9%,11.7%
Bland County,Virginia,21.3%,53.8%,66.1%,3.1%,30.7%
Botetourt County,Virginia,26.5%,48.5%,88.3%,4.5%,7.2%
Brunswick County,Virginia,25.8%,54.3%,70.9%,4.4%,24.7%
Buchanan County,Virginia,24.3%,52.6%,64.3%,4.1%,31.6%
Buckingham County,Virginia,31.1%,50.3%,68.6%,2.2%,29.2%
Campbell County,Virginia,27.3%,46.7%,72.6%,11.1%,16.3%
Caroline County,Virginia,32.3%,43.0%,89.2%,1.9%,8.9%
Carroll County,Virginia,24.1%,52.6%,74.1%,3.7%,22.2%
Charles City County,Virginia,19.0%,56.7%,84.9%,2.6%,12.4%
Charlotte County,Virginia,28.1%,52.7%,73.3%,4.7%,22.1%
Chesterfield County,Virginia,36.2%,38.7%,84.9%,13.8%,1.3%
Clarke County,Virginia,25.6%,46.5%,93.3%,6.5%,0.2%
Craig County,Virginia,26.7%,52.5%,71.9%,9.9%,18.2%
Culpeper County,Virginia,35.0%,45.0%,87.7%,9.2%,3.2%
Cumberland County,Virginia,22.8%,53.0%,70.7%,7.5%,21.7%
Dickenson County,Virginia,29.1%,48.5%,67.5%,3.9%,28.6%
Dinwiddie County,Virginia,31.0%,44.1%,83.1%,3.7%,13.2%
Essex County,Virginia,25.3%,50.2%,76.2%,9.7%,14.0%
Fairfax County,Virginia,35.7%,37.1%,70.9%,28.6%,0.5%
Fauquier County,Virginia,34.2%,43.7%,90.4%,7.9%,1.7%
Floyd County,Virginia,26.5%,49.2%,83.1%,1.3%,15.5%
Fluvanna County,Virginia,32.6%,45.5%,90.9%,3.5%,5.6%
Franklin County,Virginia,26.9%,53.4%,80.2%,4.5%,15.4%
Frederick County,Virginia,31.5%,43.8%,84.9%,8.6%,6.5%
Giles County,Virginia,24.2%,47.5%,79.9%,6.9%,13.3%
Gloucester County,Virginia,24.6%,45.3%,84.6%,6.3%,9.2%
Goochland County,Virginia,25.7%,50.9%,92.1%,4.1%,3.9%
Grayson County,Virginia,22.1%,55.0%,78.9%,5.0%,16.1%
Greene County,Virginia,31.1%,43.1%,85.6%,5.2%,9.2%
Greensville County,Virginia,23.9%,50.2%,81.7%,1.6%,16.7%
Halifax County,Virginia,26.1%,52.2%,77.8%,4.8%,17.4%
Hanover County,Virginia,31.3%,43.7%,90.4%,7.5%,2.1%
Henrico County,Virginia,31.0%,38.5%,76.8%,22.8%,0.3%
Henry County,Virginia,22.1%,52.8%,74.3%,9.3%,16.4%
Highland County,Virginia,14.8%,70.5%,84.4%,1.9%,13.7%
Isle of Wight County,Virginia,30.6%,47.2%,81.7%,8.1%,10.2%
James City County,Virginia,27.0%,53.5%,82.4%,14.9%,2.8%
King and Queen County,Virginia,20.2%,49.1%,83.7%,1.4%,14.9%
King George County,Virginia,36.3%,34.1%,86.7%,7.0%,6.2%
King William County,Virginia,32.8%,40.0%,95.2%,1.8%,3.0%
Lancaster County,Virginia,14.4%,62.9%,85.8%,8.9%,5.4%
Lee County,Virginia,26.6%,47.3%,73.7%,6.9%,19.4%
Loudoun County,Virginia,47.7%,28.5%,83.0%,16.5%,0.5%
Louisa County,Virginia,28.2%,49.3%,83.7%,5.2%,11.1%
Lunenburg County,Virginia,23.5%,54.1%,77.2%,3.8%,18.9%
Madison County,Virginia,26.7%,45.7%,93.6%,2.1%,4.3%
Mathews County,Virginia,21.9%,65.0%,87.0%,6.6%,6.4%
Mecklenburg County,Virginia,22.2%,56.3%,77.1%,7.2%,15.7%
Middlesex County,Virginia,17.0%,62.4%,82.8%,4.8%,12.4%
Montgomery County,Virginia,24.4%,33.5%,61.5%,27.9%,10.6%
Nelson County,Virginia,22.9%,56.0%,81.0%,3.4%,15.6%
New Kent County,Virginia,31.3%,44.2%,97.7%,0.1%,2.2%
Northampton County,Virginia,23.4%,53.6%,81.7%,9.7%,8.6%
Northumberland County,Virginia,18.3%,70.1%,85.4%,2.9%,11.7%
Nottoway County,Virginia,30.9%,50.8%,77.0%,10.6%,12.4%
Orange County,Virginia,30.2%,44.3%,83.9%,9.8%,6.3%
Page County,Virginia,25.5%,48.5%,82.8%,5.3%,11.9%
Patrick County,Virginia,23.1%,54.6%,72.6%,2.8%,24.6%
Pittsylvania County,Virginia,28.3%,51.1%,78.8%,3.6%,17.6%
Powhatan County,Virginia,30.9%,45.6%,97.9%,0.3%,1.8%
Prince Edward County,Virginia,27.4%,50.9%,66.7%,17.8%,15.5%
Prince George County,Virginia,36.5%,44.4%,86.5%,8.9%,4.6%
Prince William County,Virginia,44.1%,31.6%,82.2%,16.8%,1.1%
Pulaski County,Virginia,24.5%,46.5%,78.2%,13.0%,8.9%
Rappahannock County,Virginia,24.6%,56.9%,97.2%,1.8%,0.9%
Richmond County,Virginia,22.4%,55.0%,79.2%,12.7%,8.1%
Roanoke County,Virginia,28.1%,47.0%,80.2%,18.3%,1.5%
Rockbridge County,Virginia,23.6%,55.0%,79.8%,6.4%,13.8%
Rockingham County,Virginia,29.6%,44.7%,82.7%,8.6%,8.6%
Russell County,Virginia,22.2%,49.3%,71.9%,5.4%,22.7%
Scott County,Virginia,23.4%,53.8%,74.8%,5.6%,19.6%
Shenandoah County,Virginia,26.3%,48.4%,82.7%,12.8%,4.5%
Smyth County,Virginia,29.0%,48.1%,74.1%,10.2%,15.8%
Southampton County,Virginia,29.2%,50.6%,79.9%,4.4%,15.7%
Spotsylvania County,Virginia,36.9%,39.3%,88.1%,7.9%,4.0%
Stafford County,Virginia,42.1%,32.5%,89.0%,8.9%,2.2%
Surry County,Virginia,28.3%,53.5%,79.0%,5.7%,15.3%
Sussex County,Virginia,27.6%,47.0%,73.3%,8.0%,18.8%
Tazewell County,Virginia,25.7%,52.2%,71.9%,7.6%,20.4%
Warren County,Virginia,30.7%,43.0%,90.3%,8.4%,1.3%
Washington County,Virginia,24.6%,51.0%,75.0%,10.5%,14.5%
Westmoreland County,Virginia,23.2%,54.9%,84.5%,4.0%,11.4%
Wise County,Virginia,29.2%,45.0%,64.8%,8.6%,26.6%
Wythe County,Virginia,25.0%,46.7%,74.9%,8.6%,16.6%
York County,Virginia,35.8%,40.5%,84.3%,14.6%,1.1%
Alexandria city,Virginia,21.6%,27.4%,36.3%,63.7%,0.0%
Bristol city,Virginia,24.6%,47.8%,75.3%,24.2%,0.5%
Buena Vista city,Virginia,25.2%,45.1%,85.8%,12.2%,2.0%
Charlottesville city,Virginia,23.4%,29.2%,55.2%,43.6%,1.2%
Chesapeake city,Virginia,37.8%,35.2%,81.2%,16.7%,2.2%
Colonial Heights city,Virginia,32.4%,43.1%,83.6%,16.4%,0.0%
Covington city,Virginia,30.6%,48.8%,91.2%,3.1%,5.7%
Danville city,Virginia,23.8%,45.6%,70.6%,24.9%,4.5%
Emporia city,Virginia,38.0%,38.7%,65.7%,31.4%,2.9%
Fairfax city,Virginia,30.4%,37.6%,75.6%,24.4%,0.0%
Falls Church city,Virginia,36.9%,35.1%,56.1%,43.9%,0.0%
Franklin city,Virginia,30.0%,44.9%,70.8%,27.9%,1.4%
Fredericksburg city,Virginia,24.5%,31.6%,55.6%,44.0%,0.4%
Galax city,Virginia,27.1%,43.6%,76.8%,16.1%,7.0%
Hampton city,Virginia,28.5%,38.0%,72.6%,26.2%,1.2%
Harrisonburg city,Virginia,31.0%,27.9%,58.9%,39.5%,1.6%
Hopewell city,Virginia,31.7%,36.8%,72.5%,26.3%,1.2%
Lexington city,Virginia,14.6%,49.1%,73.6%,25.9%,0.5%
Lynchburg city,Virginia,26.2%,37.3%,64.4%,35.0%,0.6%
Manassas city,Virginia,41.0%,33.7%,75.4%,23.1%,1.4%
Manassas Park city,Virginia,44.4%,29.6%,74.2%,25.8%,0.0%
Martinsville city,Virginia,26.7%,42.8%,75.0%,24.1%,0.9%
Newport News city,Virginia,29.9%,33.6%,60.5%,36.9%,2.7%
Norfolk city,Virginia,29.4%,32.7%,57.8%,41.5%,0.7%
Norton city,Virginia,22.6%,48.2%,56.6%,33.3%,10.1%
Petersburg city,Virginia,22.2%,40.6%,60.2%,37.6%,2.2%
Poquoson city,Virginia,35.2%,46.4%,93.4%,5.5%,1.1%
Portsmouth city,Virginia,29.2%,38.5%,72.0%,27.3%,0.8%
Radford city,Virginia,20.7%,25.2%,59.6%,37.5%,2.9%
Richmond city,Virginia,19.8%,34.4%,56.8%,42.7%,0.6%
Roanoke city,Virginia,24.2%,38.3%,69.2%,30.4%,0.5%
Salem city,Virginia,27.7%,43.2%,75.5%,22.1%,2.4%
Staunton city,Virginia,27.1%,43.9%,75.0%,24.5%,0.5%
Suffolk city,Virginia,34.1%,39.0%,82.6%,15.0%,2.4%
Virginia Beach city,Virginia,33.7%,36.0%,76.0%,23.0%,1.1%
Waynesboro city,Virginia,29.1%,41.6%,70.4%,28.4%,1.2%
Williamsburg city,Virginia,20.1%,47.8%,55.8%,44.0%,0.2%
Winchester city,Virginia,29.1%,40.5%,71.5%,27.2%,1.3%
Adams County,Washington,45.5%,34.7%,63.2%,12.9%,23.9%
Asotin County,Washington,25.2%,51.3%,75.0%,13.6%,11.4%
Benton County,Washington,34.4%,38.8%,69.5%,21.3%,9.1%
Chelan County,Washington,30.1%,44.5%,70.4%,19.2%,10.4%
Clallam County,Washington,20.5%,58.3%,74.8%,12.4%,12.8%
Clark County,Washington,33.6%,39.4%,74.5%,21.5%,4.0%
Columbia County,Washington,20.6%,55.0%,79.6%,8.9%,11.5%
Cowlitz County,Washington,29.5%,46.3%,70.9%,19.3%,9.7%
Douglas County,Washington,35.5%,42.2%,70.1%,13.2%,16.7%
Ferry County,Washington,20.2%,62.5%,75.6%,4.1%,20.3%
Franklin County,Washington,46.7%,30.9%,75.7%,15.5%,8.9%
Garfield County,Washington,25.2%,56.8%,77.3%,4.7%,18.1%
Grant County,Washington,38.0%,38.6%,60.1%,14.7%,25.3%
Grays Harbor County,Washington,26.6%,50.3%,74.0%,14.7%,11.3%
Island County,Washington,24.5%,50.8%,80.1%,11.9%,8.0%
Jefferson County,Washington,15.7%,65.3%,79.4%,7.2%,13.5%
King County,Washington,28.5%,32.0%,58.3%,39.9%,1.8%
Kitsap County,Washington,29.9%,42.2%,75.7%,18.0%,6.3%
Kittitas County,Washington,23.9%,38.5%,70.2%,22.0%,7.7%
Klickitat County,Washington,22.7%,50.2%,74.7%,8.7%,16.6%
Lewis County,Washington,28.3%,48.9%,68.6%,12.5%,18.9%
Lincoln County,Washington,23.4%,52.6%,77.3%,4.1%,18.6%
Mason County,Washington,26.6%,51.5%,74.7%,4.7%,20.5%
Okanogan County,Washington,33.2%,49.1%,71.7%,9.6%,18.7%
Pacific County,Washington,19.8%,62.0%,74.7%,8.0%,17.3%
Pend Oreille County,Washington,23.8%,58.0%,75.1%,5.4%,19.5%
Pierce County,Washington,32.9%,36.6%,71.5%,23.0%,5.5%
San Juan County,Washington,18.5%,58.9%,84.8%,8.0%,7.2%
Skagit County,Washington,29.0%,47.5%,78.3%,14.6%,7.1%
Skamania County,Washington,25.9%,49.4%,74.7%,5.9%,19.4%
Snohomish County,Washington,33.4%,36.9%,70.2%,25.1%,4.7%
Spokane County,Washington,29.4%,39.6%,70.1%,24.7%,5.2%
Stevens County,Washington,24.2%,54.1%,74.4%,5.2%,20.4%
Thurston County,Washington,30.4%,40.9%,72.4%,18.7%,8.9%
Wahkiakum County,Washington,24.8%,63.7%,80.8%,3.2%,16.1%
Walla Walla County,Washington,29.2%,43.5%,74.7%,18.9%,6.4%
Whatcom County,Washington,27.2%,40.6%,66.5%,27.1%,6.3%
Whitman County,Washington,19.8%,26.8%,48.3%,45.2%,6.6%
Yakima County,Washington,40.1%,38.7%,70.6%,17.2%,12.2%
Barbour County,West Virginia,23.3%,45.2%,76.5%,7.6%,15.9%
Berkeley County,West Virginia,34.0%,37.9%,77.7%,10.9%,11.5%
Boone County,West Virginia,32.5%,50.8%,63.0%,5.2%,31.9%
Braxton County,West Virginia,27.9%,52.1%,73.0%,4.5%,22.5%
Brooke County,West Virginia,21.7%,50.2%,75.5%,15.2%,9.3%
Cabell County,West Virginia,23.8%,39.6%,69.0%,23.4%,7.5%
Calhoun County,West Virginia,23.5%,53.6%,73.0%,1.6%,25.4%
Clay County,West Virginia,31.4%,48.4%,66.0%,2.5%,31.5%
Doddridge County,West Virginia,22.2%,55.5%,80.7%,1.6%,17.7%
Fayette County,West Virginia,27.2%,49.8%,82.6%,6.3%,11.0%
Gilmer County,West Virginia,21.0%,46.2%,61.6%,8.9%,29.5%
Grant County,West Virginia,23.6%,52.3%,78.4%,6.2%,15.4%
Greenbrier County,West Virginia,24.0%,49.4%,73.4%,12.8%,13.7%
Hampshire County,West Virginia,22.0%,56.5%,81.6%,4.6%,13.8%
Hancock County,West Virginia,24.2%,50.7%,83.4%,9.5%,7.0%
Hardy County,West Virginia,26.8%,47.0%,76.5%,3.1%,20.4%
Harrison County,West Virginia,28.3%,46.8%,80.0%,12.2%,7.8%
Jackson County,West Virginia,23.5%,45.8%,73.4%,8.6%,17.9%
Jefferson County,West Virginia,32.6%,42.3%,85.6%,7.3%,7.1%
Kanawha County,West Virginia,26.0%,45.7%,73.8%,16.2%,10.0%
Lewis County,West Virginia,25.2%,43.5%,72.3%,8.5%,19.2%
Lincoln County,West Virginia,29.0%,48.3%,64.9%,5.0%,30.1%
Logan County,West Virginia,29.1%,46.4%,74.3%,4.9%,20.8%
McDowell County,West Virginia,27.3%,55.2%,71.9%,1.5%,26.6%
Marion County,West Virginia,27.5%,44.2%,81.5%,11.1%,7.4%
Marshall County,West Virginia,24.0%,52.0%,85.6%,7.6%,6.8%
Mason County,West Virginia,30.0%,50.3%,72.1%,5.1%,22.9%
Mercer County,West Virginia,27.6%,48.6%,69.6%,10.8%,19.6%
Mineral County,West Virginia,26.3%,49.1%,80.4%,10.6%,9.1%
Mingo County,West Virginia,31.4%,46.7%,57.7%,9.7%,32.7%
Monongalia County,West Virginia,24.4%,31.5%,61.1%,29.7%,9.1%
Monroe County,West Virginia,23.9%,50.7%,80.1%,2.7%,17.2%
Morgan County,West Virginia,26.4%,53.9%,84.5%,5.2%,10.4%
Nicholas County,West Virginia,26.1%,50.1%,72.5%,5.9%,21.6%
Ohio County,West Virginia,24.9%,49.5%,74.1%,22.5%,3.5%
Pendleton County,West Virginia,22.9%,53.9%,79.4%,2.8%,17.8%
Pleasants County,West Virginia,32.7%,43.1%,71.1%,6.8%,22.1%
Pocahontas County,West Virginia,20.4%,58.3%,81.8%,2.1%,16.0%
Preston County,West Virginia,26.1%,49.6%,74.9%,7.0%,18.1%
Putnam County,West Virginia,33.9%,43.2%,77.6%,7.5%,14.9%
Raleigh County,West Virginia,30.8%,46.7%,76.3%,8.6%,15.0%
Randolph County,West Virginia,23.7%,52.0%,70.0%,11.5%,18.5%
Ritchie County,West Virginia,28.0%,49.8%,72.8%,3.6%,23.7%
Roane County,West Virginia,23.1%,51.4%,71.4%,4.7%,23.9%
Summers County,West Virginia,24.5%,57.6%,83.7%,3.2%,13.1%
Taylor County,West Virginia,27.5%,45.3%,79.2%,9.6%,11.2%
Tucker County,West Virginia,23.3%,54.8%,86.7%,5.8%,7.5%
Tyler County,West Virginia,21.3%,53.3%,83.7%,3.8%,12.5%
Upshur County,West Virginia,26.8%,46.4%,72.9%,6.0%,21.1%
Wayne County,West Virginia,26.9%,48.9%,72.9%,6.9%,20.3%
Webster County,West Virginia,28.4%,51.1%,66.8%,7.0%,26.2%
Wetzel County,West Virginia,22.6%,52.4%,80.7%,5.0%,14.3%
Wirt County,West Virginia,27.2%,46.8%,67.6%,4.7%,27.7%
Wood County,West Virginia,26.1%,46.6%,77.9%,14.8%,7.3%
Wyoming County,West Virginia,30.1%,49.8%,67.2%,2.6%,30.2%
Adams County,Wisconsin,17.6%,60.0%,74.0%,5.6%,20.4%
Ashland County,Wisconsin,24.8%,46.7%,79.6%,13.7%,6.6%
Barron County,Wisconsin,26.9%,47.2%,80.1%,14.6%,5.3%
Bayfield County,Wisconsin,21.4%,54.8%,85.9%,6.6%,7.4%
Brown County,Wisconsin,29.9%,35.6%,70.7%,27.9%,1.4%
Buffalo County,Wisconsin,25.4%,45.8%,82.8%,11.7%,5.5%
Burnett County,Wisconsin,21.4%,55.2%,85.7%,5.7%,8.7%
Calumet County,Wisconsin,32.7%,35.1%,83.2%,14.8%,2.0%
Chippewa County,Wisconsin,29.4%,41.9%,82.6%,14.6%,2.9%
Clark County,Wisconsin,32.9%,40.5%,86.6%,8.3%,5.1%
Columbia County,Wisconsin,28.6%,41.4%,79.6%,17.6%,2.9%
