County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
El Paso County,Texas,90.5%,79.4%,11.0%,1.8%,2.1%,0.1%,2.5%,2.9%,94.2%,0.7%,10.9%,14.3%,15.8%,21.8%,7.1%,17.8%,4.8%,4.4%,3.1%,22.4,2.9%,22.7%,41.3%,33.1%
Erath County,Texas,91.3%,81.5%,9.8%,0.1%,3.8%,0.2%,0.4%,4.2%,85.3%,14.2%,34.4%,18.2%,15.7%,12.3%,2.5%,5.2%,3.3%,2.4%,5.9%,18.3,1.2%,19.1%,45.2%,34.5%
Falls County,Texas,92.7%,79.5%,13.1%,0.2%,2.7%,0.0%,0.8%,3.7%,46.6%,52.2%,22.8%,10.4%,10.6%,8.6%,7.1%,15.9%,10.4%,7.3%,6.9%,25.8,1.1%,17.2%,35.4%,46.4%
Fannin County,Texas,94.7%,79.9%,14.8%,0.3%,1.2%,0.0%,0.8%,3.0%,51.7%,46.9%,22.2%,10.8%,7.8%,9.2%,5.2%,11.4%,7.0%,10.7%,15.6%,30.5,1.1%,15.1%,42.2%,41.6%
Fayette County,Texas,92.3%,77.2%,15.1%,0.1%,2.1%,0.0%,2.4%,3.0%,70.1%,29.2%,28.1%,16.7%,14.7%,11.4%,4.3%,9.5%,2.7%,3.1%,9.5%,22.3,1.2%,20.2%,44.7%,33.9%
Fisher County,Texas,92.8%,75.9%,16.9%,0.0%,2.1%,0.0%,2.3%,2.9%,58.2%,41.2%,37.0%,13.8%,11.0%,8.1%,2.4%,9.8%,2.6%,3.0%,12.3%,21.2,1.3%,15.7%,47.5%,35.6%
Floyd County,Texas,93.3%,82.2%,11.2%,0.0%,2.5%,0.0%,0.0%,4.2%,67.6%,32.4%,43.3%,14.2%,8.7%,8.3%,2.9%,12.2%,0.8%,2.5%,7.1%,17.6,1.2%,18.0%,46.9%,33.9%
Foard County,Texas,89.5%,75.5%,14.0%,0.0%,7.1%,0.0%,0.0%,3.4%,74.6%,23.9%,54.4%,16.9%,2.6%,4.8%,1.3%,14.5%,1.9%,1.4%,2.2%,12.4,6.9%,26.2%,42.8%,24.0%
Fort Bend County,Texas,92.6%,81.7%,11.0%,1.8%,0.6%,0.1%,1.0%,3.9%,35.0%,64.0%,6.8%,8.4%,11.2%,12.6%,6.5%,19.9%,10.8%,13.6%,10.1%,30.6,1.0%,14.0%,50.1%,34.9%
Franklin County,Texas,93.7%,82.1%,11.7%,0.0%,2.5%,0.0%,1.1%,2.7%,48.7%,51.1%,26.1%,13.4%,12.3%,15.9%,8.4%,10.6%,1.9%,2.9%,8.4%,23.8,2.0%,13.1%,42.0%,43.0%
Freestone County,Texas,93.3%,83.6%,9.7%,0.9%,0.5%,0.0%,1.0%,4.3%,63.9%,35.5%,21.7%,13.0%,19.2%,10.4%,5.4%,12.2%,3.8%,3.8%,10.5%,23.5,2.1%,21.9%,35.7%,40.2%
Frio County,Texas,94.8%,74.8%,20.0%,0.2%,2.3%,0.0%,2.3%,0.4%,80.1%,19.9%,45.9%,13.1%,10.6%,6.3%,1.6%,4.8%,1.6%,2.6%,13.5%,23.0,3.4%,19.9%,40.1%,36.6%
Gaines County,Texas,88.1%,71.2%,16.9%,0.0%,3.2%,0.0%,2.3%,6.4%,77.4%,17.1%,40.5%,12.8%,11.3%,7.5%,4.7%,12.2%,2.6%,3.0%,5.4%,18.6,1.5%,17.2%,40.5%,40.8%
Galveston County,Texas,90.4%,80.2%,10.2%,0.8%,2.3%,0.6%,3.3%,2.6%,58.3%,40.7%,14.0%,15.1%,15.7%,13.1%,5.0%,13.6%,6.4%,8.6%,8.5%,25.5,2.8%,21.1%,47.4%,28.7%
Garza County,Texas,94.9%,79.3%,15.6%,0.0%,0.0%,0.0%,1.5%,3.6%,78.9%,17.5%,66.3%,8.7%,4.9%,0.5%,0.9%,3.6%,2.4%,7.1%,5.6%,14.0,0.8%,24.8%,48.2%,26.3%
Gillespie County,Texas,87.5%,72.9%,14.6%,0.0%,3.0%,0.0%,0.5%,9.0%,84.3%,15.5%,28.4%,15.1%,19.9%,9.1%,5.9%,9.2%,2.5%,3.3%,6.6%,20.0,1.3%,18.9%,46.3%,33.5%
Glasscock County,Texas,79.1%,74.3%,4.7%,1.2%,4.7%,0.0%,1.1%,13.9%,60.5%,39.5%,28.2%,12.2%,6.9%,10.4%,7.3%,22.7%,0.4%,6.7%,5.1%,22.7,0.0%,8.1%,42.5%,49.4%
Goliad County,Texas,92.2%,77.6%,14.5%,0.0%,2.4%,0.4%,0.2%,4.8%,43.4%,56.0%,23.7%,7.2%,6.4%,9.5%,1.5%,15.3%,14.0%,11.8%,10.6%,30.8,1.6%,14.3%,42.1%,42.0%
Gonzales County,Texas,90.9%,75.8%,15.0%,0.2%,4.9%,0.1%,1.0%,3.0%,76.1%,23.6%,34.4%,14.3%,14.1%,6.8%,3.0%,6.2%,4.0%,5.2%,11.9%,23.2,3.9%,23.2%,40.6%,32.3%
Gray County,Texas,94.3%,81.2%,13.1%,0.2%,2.5%,0.0%,1.2%,1.7%,83.5%,14.5%,39.0%,24.7%,12.5%,4.6%,1.1%,4.1%,3.2%,3.2%,7.7%,17.3,1.1%,19.8%,47.5%,31.5%
Grayson County,Texas,93.0%,80.6%,12.4%,0.6%,1.4%,0.1%,1.2%,3.6%,75.3%,21.9%,19.0%,18.4%,17.2%,12.7%,4.5%,8.4%,4.3%,5.7%,9.7%,23.6,2.0%,19.3%,45.1%,33.6%
Gregg County,Texas,92.7%,81.5%,11.2%,0.2%,0.9%,0.3%,2.9%,3.0%,83.0%,16.0%,20.1%,20.1%,18.8%,16.3%,5.0%,8.9%,2.4%,3.5%,4.9%,20.4,2.4%,23.2%,44.5%,29.8%
Grimes County,Texas,89.9%,76.2%,13.7%,0.2%,1.2%,0.1%,1.5%,7.1%,52.1%,46.9%,16.9%,10.1%,9.4%,10.8%,4.4%,14.9%,8.7%,11.5%,13.4%,30.0,1.6%,18.8%,44.1%,35.5%
Guadalupe County,Texas,93.9%,81.8%,12.2%,0.0%,1.5%,0.4%,1.0%,3.2%,39.9%,59.3%,13.4%,15.8%,17.6%,13.3%,5.8%,12.4%,6.5%,9.0%,6.2%,24.8,1.2%,15.8%,45.1%,37.9%
Hale County,Texas,92.2%,79.9%,12.3%,0.0%,2.5%,0.1%,0.4%,4.8%,86.5%,13.1%,32.2%,30.5%,15.7%,7.3%,0.7%,5.7%,2.1%,3.3%,2.6%,14.9,2.3%,21.8%,49.2%,26.7%
Hall County,Texas,93.7%,76.1%,17.7%,0.0%,0.6%,0.0%,1.9%,3.7%,71.6%,23.9%,45.7%,13.4%,15.1%,1.8%,2.6%,9.8%,5.2%,1.9%,4.4%,16.1,3.3%,17.0%,39.6%,40.1%
Hamilton County,Texas,91.1%,80.1%,11.0%,0.4%,2.6%,0.0%,1.4%,4.5%,71.0%,28.1%,46.3%,12.7%,7.9%,5.6%,2.8%,9.4%,2.8%,4.4%,8.1%,18.9,1.9%,16.3%,52.3%,29.5%
Hansford County,Texas,90.1%,74.0%,16.2%,0.2%,2.8%,0.5%,2.2%,4.2%,74.8%,19.9%,49.6%,7.1%,9.9%,7.0%,1.7%,9.0%,4.1%,2.5%,9.1%,19.4,2.9%,11.7%,47.2%,38.3%
Hardeman County,Texas,93.5%,80.7%,12.7%,0.0%,1.2%,0.2%,2.2%,2.9%,71.3%,25.7%,45.1%,11.4%,14.9%,5.7%,0.6%,6.6%,6.1%,6.0%,3.4%,17.5,0.7%,27.1%,54.7%,17.5%
Hardin County,Texas,95.0%,84.9%,10.2%,0.0%,1.1%,0.3%,1.1%,2.4%,40.9%,57.1%,15.5%,11.1%,12.8%,12.2%,6.3%,15.4%,8.2%,10.1%,8.5%,27.3,1.2%,15.7%,47.4%,35.7%
Harris County,Texas,90.1%,77.4%,12.6%,3.2%,1.6%,0.3%,1.7%,3.1%,92.8%,6.5%,8.8%,11.3%,14.9%,15.2%,6.3%,17.9%,7.5%,9.6%,8.5%,27.5,3.5%,25.8%,44.0%,26.7%
Harrison County,Texas,93.8%,82.2%,11.6%,0.0%,2.2%,0.0%,0.9%,3.1%,58.9%,32.9%,15.1%,16.1%,20.4%,11.9%,5.3%,13.3%,5.0%,6.7%,6.2%,23.4,1.8%,17.5%,44.7%,35.9%
Hartley County,Texas,90.3%,80.9%,9.4%,0.3%,3.0%,0.0%,1.9%,4.5%,59.3%,39.7%,56.4%,14.2%,11.0%,4.4%,1.5%,4.7%,3.2%,3.7%,0.9%,11.6,0.0%,13.3%,45.6%,41.1%
Haskell County,Texas,96.7%,81.5%,15.2%,0.1%,0.5%,0.2%,0.5%,2.0%,66.7%,33.0%,37.8%,16.2%,16.5%,5.6%,0.6%,7.3%,2.2%,4.0%,9.8%,20.9,1.5%,20.6%,56.2%,21.6%
Hays County,Texas,89.1%,77.7%,11.4%,0.8%,2.2%,0.2%,0.7%,6.9%,48.3%,51.2%,13.7%,12.0%,10.8%,10.8%,5.0%,14.9%,8.5%,12.2%,12.1%,29.3,1.3%,17.2%,47.6%,33.9%
Hemphill County,Texas,89.6%,81.1%,8.5%,0.0%,3.0%,0.0%,0.4%,7.1%,82.9%,15.2%,49.7%,17.8%,12.2%,4.7%,2.7%,4.6%,1.7%,3.2%,3.5%,15.7,2.0%,17.4%,47.8%,32.7%
Henderson County,Texas,94.6%,77.4%,17.2%,0.2%,0.9%,0.1%,0.5%,3.7%,55.9%,42.8%,16.6%,12.8%,13.9%,11.0%,4.6%,12.5%,5.6%,6.5%,16.5%,31.6,1.7%,20.5%,44.4%,33.4%
Hidalgo County,Texas,90.3%,76.6%,13.7%,0.3%,1.4%,0.2%,4.2%,3.6%,92.2%,5.9%,15.3%,16.4%,21.7%,17.6%,5.5%,14.0%,2.9%,2.9%,3.8%,21.0,2.5%,24.0%,41.7%,31.7%
Hill County,Texas,94.5%,80.4%,14.2%,0.0%,1.5%,0.0%,1.3%,2.6%,54.6%,44.3%,21.6%,11.1%,10.7%,7.7%,3.4%,11.9%,7.0%,11.2%,15.5%,30.8,3.3%,18.4%,43.8%,34.5%
Hockley County,Texas,93.1%,80.3%,12.8%,0.1%,1.6%,0.0%,1.2%,4.1%,69.5%,29.2%,33.2%,17.2%,9.4%,8.9%,2.9%,12.9%,6.7%,5.2%,3.8%,19.7,1.8%,17.3%,45.0%,35.9%
Hood County,Texas,93.1%,81.4%,11.7%,0.4%,1.4%,0.1%,0.5%,4.6%,55.2%,43.2%,14.5%,12.9%,15.3%,11.2%,3.5%,8.3%,4.3%,11.9%,18.0%,32.1,1.4%,16.8%,46.2%,35.5%
Hopkins County,Texas,86.4%,75.3%,11.1%,0.0%,3.6%,0.1%,0.7%,9.2%,76.4%,23.3%,29.8%,17.6%,13.6%,12.6%,4.5%,8.2%,3.3%,4.3%,6.0%,20.1,2.9%,16.5%,45.9%,34.7%
Houston County,Texas,86.7%,69.4%,17.3%,0.3%,3.6%,0.0%,3.1%,6.2%,77.4%,21.1%,21.1%,14.4%,14.4%,11.4%,5.4%,11.5%,4.6%,5.7%,11.5%,26.0,5.7%,24.7%,34.5%,35.1%
Howard County,Texas,93.2%,80.4%,12.8%,0.0%,3.1%,0.4%,1.3%,2.0%,89.4%,9.6%,35.0%,26.3%,15.8%,5.9%,2.8%,5.3%,0.9%,2.5%,5.5%,16.8,2.4%,25.3%,43.3%,29.0%
Hudspeth County,Texas,85.1%,77.4%,7.6%,1.5%,3.1%,0.0%,6.3%,4.0%,66.9%,31.9%,37.9%,11.4%,4.8%,1.0%,2.3%,10.3%,6.0%,12.7%,13.6%,24.4,4.3%,25.1%,46.9%,23.6%
Hunt County,Texas,92.8%,81.7%,11.1%,0.4%,2.5%,0.0%,1.4%,2.9%,61.2%,38.2%,18.4%,13.9%,13.8%,11.6%,4.5%,8.8%,3.8%,8.6%,16.6%,28.7,1.9%,20.8%,42.8%,34.5%
Hutchinson County,Texas,93.0%,80.2%,12.8%,0.2%,1.5%,0.4%,1.7%,3.3%,82.6%,15.1%,34.9%,22.4%,14.3%,6.3%,1.9%,4.9%,4.6%,4.3%,6.4%,18.0,2.6%,17.7%,39.1%,40.6%
Irion County,Texas,92.2%,75.7%,16.5%,0.0%,1.9%,0.0%,1.4%,4.5%,51.8%,48.2%,22.1%,8.2%,1.0%,16.2%,10.0%,22.9%,2.6%,3.2%,13.6%,27.9,1.0%,22.4%,56.3%,20.2%
Jack County,Texas,92.2%,80.5%,11.8%,0.0%,1.1%,0.2%,1.0%,5.5%,69.2%,30.4%,30.6%,16.6%,11.6%,12.4%,1.6%,9.3%,5.6%,2.5%,9.9%,21.1,2.2%,15.6%,44.2%,37.9%
Jackson County,Texas,94.1%,80.5%,13.6%,0.2%,2.6%,0.1%,0.4%,2.6%,66.3%,32.8%,34.9%,8.7%,7.6%,9.9%,5.7%,12.5%,5.5%,7.0%,8.1%,24.4,3.5%,15.4%,41.8%,39.3%
Jasper County,Texas,92.9%,81.7%,11.1%,0.0%,2.1%,0.7%,0.9%,3.5%,66.7%,30.7%,24.6%,19.1%,10.9%,7.6%,4.0%,10.6%,6.0%,7.0%,10.3%,24.5,3.1%,22.6%,43.7%,30.7%
Jeff Davis County,Texas,74.0%,61.2%,12.8%,0.6%,11.0%,0.9%,3.7%,9.9%,78.5%,21.5%,53.4%,14.4%,6.3%,5.2%,4.2%,6.0%,3.4%,4.1%,3.0%,13.5,0.5%,24.0%,53.5%,22.0%
Jefferson County,Texas,94.3%,82.0%,12.3%,0.8%,1.7%,0.2%,1.0%,1.9%,91.5%,7.5%,18.7%,20.9%,22.1%,14.5%,4.7%,10.2%,2.9%,2.1%,3.8%,19.0,2.7%,24.8%,43.8%,28.7%
Jim Hogg County,Texas,89.0%,71.2%,17.9%,0.0%,2.5%,0.0%,2.2%,6.2%,73.7%,24.4%,49.9%,13.3%,5.0%,2.4%,2.1%,6.1%,0.0%,6.3%,14.7%,24.0,1.9%,18.5%,51.8%,27.8%
Jim Wells County,Texas,93.4%,83.8%,9.6%,0.3%,1.9%,0.0%,1.8%,2.6%,74.8%,24.7%,31.4%,19.0%,16.7%,4.9%,2.8%,6.3%,3.0%,6.7%,9.0%,22.7,3.5%,25.7%,40.1%,30.7%
Johnson County,Texas,94.6%,83.2%,11.4%,0.4%,1.0%,0.1%,1.4%,2.5%,45.8%,53.5%,13.9%,11.2%,11.1%,11.7%,5.8%,13.7%,8.2%,12.5%,11.8%,29.1,1.0%,14.9%,46.8%,37.3%
Jones County,Texas,93.3%,80.6%,12.7%,0.0%,2.5%,0.2%,1.5%,2.4%,52.6%,45.9%,25.6%,10.5%,11.1%,15.5%,6.5%,8.6%,5.9%,7.4%,8.8%,25.8,3.8%,17.0%,40.4%,38.9%
Karnes County,Texas,93.8%,78.6%,15.1%,0.0%,1.0%,0.0%,0.8%,4.3%,66.5%,32.9%,29.0%,20.2%,9.0%,8.6%,2.4%,9.4%,1.6%,7.3%,12.5%,25.6,2.4%,20.4%,50.3%,27.0%
Kaufman County,Texas,94.1%,80.8%,13.3%,0.2%,1.0%,0.2%,0.7%,3.8%,38.7%,60.8%,13.2%,9.4%,10.0%,8.8%,5.2%,11.5%,9.9%,16.8%,15.2%,32.0,1.1%,15.7%,41.4%,41.8%
Kendall County,Texas,88.7%,77.9%,10.8%,0.2%,1.5%,0.1%,1.1%,8.4%,53.3%,45.5%,17.1%,13.8%,10.3%,8.5%,6.7%,13.7%,11.9%,13.4%,4.6%,25.9,0.9%,11.2%,43.7%,44.2%
Kenedy County,Texas,90.4%,90.4%,0.0%,0.0%,0.0%,0.0%,9.6%,0.0%,80.0%,20.0%,2.6%,39.1%,0.0%,52.2%,0.0%,6.1%,0.0%,0.0%,0.0%,16.3,5.2%,58.3%,23.5%,13.0%
Kent County,Texas,91.0%,83.8%,7.3%,0.0%,1.7%,0.0%,0.7%,6.5%,80.6%,19.4%,53.4%,4.1%,8.3%,13.5%,5.2%,8.0%,4.4%,0.0%,3.1%,14.6,2.7%,22.8%,39.7%,34.9%
Kerr County,Texas,91.4%,77.6%,13.8%,0.2%,2.3%,0.0%,0.7%,5.3%,87.8%,11.4%,20.8%,24.4%,21.9%,11.1%,4.6%,7.7%,1.9%,3.6%,3.9%,18.9,0.9%,22.0%,47.3%,29.9%
Kimble County,Texas,87.6%,70.0%,17.6%,0.0%,7.9%,0.4%,0.0%,4.1%,75.4%,23.6%,45.9%,15.0%,8.8%,4.8%,1.6%,6.8%,4.5%,7.0%,5.5%,17.0,0.3%,26.6%,45.7%,27.4%
King County,Texas,72.2%,62.7%,9.5%,0.0%,11.1%,0.0%,0.0%,16.7%,95.2%,4.8%,92.4%,0.0%,0.0%,0.0%,0.0%,7.6%,0.0%,0.0%,0.0%,4.5,0.0%,19.0%,47.6%,33.3%
Kinney County,Texas,89.2%,87.7%,1.5%,0.7%,3.9%,0.6%,1.8%,3.8%,82.7%,16.8%,54.0%,11.8%,7.0%,6.1%,0.0%,6.1%,5.3%,4.0%,5.7%,17.6,2.2%,19.6%,63.3%,14.9%
Kleberg County,Texas,90.7%,78.1%,12.6%,0.2%,3.5%,1.1%,2.8%,1.7%,76.7%,22.8%,40.7%,19.5%,11.0%,5.5%,2.2%,6.5%,3.9%,4.7%,6.1%,18.0,1.9%,26.3%,48.3%,23.6%
Knox County,Texas,93.5%,81.1%,12.4%,0.2%,3.7%,0.5%,1.3%,0.7%,78.4%,21.1%,44.4%,15.4%,14.4%,9.0%,3.1%,7.3%,1.2%,0.8%,4.5%,14.2,1.3%,31.7%,43.3%,23.8%
Lamar County,Texas,93.8%,81.8%,12.0%,0.0%,1.4%,0.2%,2.3%,2.3%,86.8%,10.3%,21.8%,26.5%,18.3%,12.4%,3.6%,8.0%,1.2%,2.8%,5.5%,19.1,3.4%,16.5%,46.8%,33.3%
Lamb County,Texas,92.4%,73.9%,18.5%,0.0%,3.6%,0.0%,0.3%,3.7%,77.1%,21.8%,47.9%,11.0%,10.4%,6.0%,3.5%,7.6%,3.8%,5.1%,4.6%,16.2,2.5%,24.2%,39.3%,34.1%
Lampasas County,Texas,92.3%,79.7%,12.6%,0.0%,2.3%,0.0%,1.8%,3.6%,47.4%,51.6%,20.9%,11.0%,9.6%,11.9%,6.3%,14.4%,8.7%,7.2%,10.1%,27.4,3.0%,17.7%,44.3%,35.0%
La Salle County,Texas,87.6%,63.3%,24.3%,0.0%,5.6%,0.0%,1.5%,5.3%,68.7%,31.3%,37.5%,9.3%,8.4%,9.0%,0.0%,7.1%,6.8%,10.0%,11.9%,27.5,6.7%,30.3%,40.6%,22.5%
Lavaca County,Texas,94.4%,77.1%,17.3%,0.0%,1.6%,0.1%,0.6%,3.3%,65.3%,34.0%,31.4%,15.5%,10.0%,10.4%,4.1%,8.9%,4.0%,5.6%,10.0%,25.1,2.6%,17.5%,44.3%,35.7%
Lee County,Texas,90.8%,77.3%,13.5%,0.0%,2.9%,0.0%,3.0%,3.4%,63.7%,36.1%,29.6%,17.3%,7.4%,6.1%,3.8%,7.1%,5.3%,7.4%,16.0%,25.6,2.2%,21.4%,40.7%,35.6%
Leon County,Texas,90.1%,78.2%,11.9%,0.2%,1.8%,0.0%,2.8%,5.0%,67.2%,31.9%,26.2%,10.4%,13.0%,11.9%,3.5%,9.8%,6.3%,8.3%,10.4%,24.7,2.0%,16.1%,43.0%,38.9%
Liberty County,Texas,96.7%,82.6%,14.1%,0.0%,0.6%,0.1%,0.9%,1.7%,44.8%,53.6%,12.3%,12.0%,10.4%,8.4%,4.0%,12.0%,6.2%,13.7%,20.9%,34.3,1.8%,17.2%,43.3%,37.8%
Limestone County,Texas,91.6%,77.2%,14.4%,0.3%,3.6%,0.1%,0.8%,3.6%,71.8%,26.6%,26.1%,15.8%,14.6%,12.4%,2.3%,9.2%,5.0%,6.9%,7.8%,22.3,1.4%,22.0%,47.2%,29.4%
Lipscomb County,Texas,88.6%,71.3%,17.3%,0.0%,4.1%,1.0%,1.9%,4.4%,72.7%,21.1%,36.6%,11.2%,11.3%,7.1%,7.7%,11.1%,2.8%,7.6%,4.6%,19.5,2.2%,19.3%,48.1%,30.5%
Live Oak County,Texas,85.5%,76.2%,9.3%,1.6%,1.6%,0.0%,7.4%,3.9%,68.7%,30.8%,26.0%,17.6%,16.1%,6.5%,2.2%,7.8%,4.0%,7.3%,12.6%,25.7,2.8%,18.9%,44.4%,33.9%
Llano County,Texas,83.6%,71.5%,12.2%,0.0%,1.4%,0.1%,2.2%,12.7%,62.2%,36.5%,28.4%,10.8%,12.0%,13.0%,3.4%,10.6%,4.1%,5.4%,12.4%,26.0,1.1%,24.0%,49.1%,25.8%
Loving County,Texas,80.6%,80.6%,0.0%,0.0%,0.0%,0.0%,0.0%,19.4%,83.3%,16.7%,65.5%,0.0%,0.0%,0.0%,0.0%,0.0%,10.3%,13.8%,10.3%,19.0,0.0%,8.3%,83.3%,8.3%
Lubbock County,Texas,92.7%,81.8%,10.9%,1.0%,2.0%,0.3%,0.6%,3.3%,95.5%,3.8%,19.8%,25.6%,26.2%,14.7%,3.2%,5.7%,1.2%,1.4%,2.2%,16.3,2.3%,22.8%,45.8%,29.0%
Lynn County,Texas,92.0%,82.7%,9.3%,0.2%,1.9%,0.0%,1.0%,4.9%,60.2%,39.6%,42.1%,9.1%,9.2%,11.2%,4.7%,12.4%,3.7%,5.1%,2.5%,16.8,2.2%,20.5%,49.2%,28.1%
McCulloch County,Texas,93.3%,73.2%,20.2%,0.2%,1.4%,0.0%,1.4%,3.6%,89.3%,10.3%,46.3%,21.1%,9.2%,9.8%,1.2%,5.4%,3.6%,2.0%,1.4%,12.8,2.0%,19.6%,49.0%,29.4%
McLennan County,Texas,93.5%,80.6%,12.9%,0.4%,2.9%,0.2%,0.9%,2.2%,92.8%,6.7%,18.7%,19.3%,22.6%,17.5%,5.5%,9.0%,2.1%,2.3%,3.0%,18.5,2.2%,21.9%,46.4%,29.5%
McMullen County,Texas,81.4%,49.5%,32.0%,0.0%,8.9%,0.0%,1.0%,8.7%,82.7%,11.8%,30.7%,11.3%,27.8%,4.5%,2.0%,8.4%,3.2%,7.0%,5.2%,20.8,1.0%,14.4%,41.6%,42.9%
Madison County,Texas,88.2%,75.4%,12.7%,0.0%,4.0%,0.0%,2.4%,5.4%,69.1%,29.4%,18.8%,18.0%,14.3%,11.4%,2.7%,14.1%,6.2%,8.7%,5.8%,24.2,3.0%,21.3%,44.2%,31.5%
Marion County,Texas,89.4%,80.3%,9.1%,0.2%,6.4%,0.2%,1.7%,2.2%,46.2%,46.7%,19.1%,10.7%,11.9%,13.1%,4.0%,11.7%,7.0%,12.4%,10.1%,26.8,2.6%,17.9%,42.8%,36.7%
Martin County,Texas,92.1%,85.1%,7.0%,0.8%,2.9%,0.0%,0.0%,4.1%,53.4%,46.6%,38.5%,6.3%,8.5%,9.2%,6.3%,19.2%,2.5%,6.7%,2.9%,18.5,1.0%,11.6%,41.1%,46.3%
Mason County,Texas,79.1%,70.2%,8.9%,0.0%,6.4%,0.0%,3.6%,10.8%,84.1%,15.9%,60.3%,6.9%,6.4%,4.1%,1.3%,8.6%,3.9%,6.6%,1.9%,13.8,0.6%,21.8%,42.4%,35.2%
Matagorda County,Texas,91.6%,76.5%,15.1%,0.0%,3.6%,0.2%,0.6%,4.0%,73.6%,24.9%,31.1%,14.4%,10.4%,11.7%,5.2%,9.8%,5.1%,4.1%,8.2%,21.6,3.8%,21.2%,44.5%,30.5%
Maverick County,Texas,90.8%,75.5%,15.4%,0.3%,2.9%,0.1%,3.7%,2.2%,87.3%,9.8%,27.6%,25.2%,23.2%,7.9%,1.9%,4.3%,0.6%,1.7%,7.5%,19.5,1.3%,22.8%,44.8%,31.1%
Medina County,Texas,94.3%,79.1%,15.2%,0.0%,2.2%,0.2%,1.4%,1.9%,49.0%,50.3%,20.3%,13.2%,9.5%,6.2%,3.0%,10.7%,9.8%,16.2%,11.1%,29.0,1.4%,14.7%,40.5%,43.4%
Menard County,Texas,89.1%,78.3%,10.8%,0.0%,9.1%,0.0%,1.8%,0.0%,83.4%,16.6%,57.3%,9.4%,5.1%,3.9%,1.8%,6.8%,0.6%,2.8%,12.2%,21.9,1.0%,12.5%,52.3%,34.2%
Midland County,Texas,94.9%,82.7%,12.2%,0.3%,0.7%,0.1%,0.9%,3.2%,87.9%,11.4%,18.8%,26.1%,25.9%,12.5%,2.4%,7.3%,1.8%,1.7%,3.4%,17.3,1.5%,21.2%,44.0%,33.3%
Milam County,Texas,90.9%,78.8%,12.1%,0.0%,2.0%,0.6%,3.2%,3.3%,64.2%,35.0%,27.0%,11.8%,11.5%,8.9%,4.1%,8.6%,6.7%,9.7%,11.8%,26.2,3.5%,16.9%,46.6%,33.0%
Mills County,Texas,93.7%,88.1%,5.6%,0.0%,2.4%,0.0%,0.6%,3.2%,73.2%,26.6%,41.2%,11.9%,13.0%,8.8%,1.9%,10.0%,4.1%,5.0%,4.2%,18.3,1.1%,15.3%,42.5%,41.1%
Mitchell County,Texas,94.4%,88.0%,6.3%,0.0%,1.8%,0.0%,2.1%,1.8%,72.8%,27.1%,41.7%,15.5%,8.6%,10.4%,2.5%,9.3%,3.4%,3.8%,4.7%,16.7,2.4%,23.4%,51.0%,23.3%
Montague County,Texas,90.3%,75.2%,15.1%,0.4%,2.7%,0.4%,0.5%,5.7%,64.0%,34.9%,29.8%,12.8%,9.4%,6.3%,3.2%,13.9%,4.7%,6.5%,13.5%,26.5,2.3%,13.3%,46.4%,38.1%
Montgomery County,Texas,91.2%,78.4%,12.8%,1.2%,0.9%,0.2%,1.2%,5.3%,54.9%,43.8%,9.9%,11.5%,13.7%,11.6%,4.9%,13.0%,7.3%,12.4%,15.6%,31.6,1.6%,17.8%,48.6%,32.0%
Moore County,Texas,90.2%,72.8%,17.4%,0.1%,4.2%,0.2%,3.5%,1.8%,90.0%,9.5%,37.7%,17.3%,16.8%,14.8%,1.3%,2.8%,1.8%,2.7%,4.7%,16.1,4.7%,18.9%,42.9%,33.5%
Morris County,Texas,95.0%,87.2%,7.8%,0.7%,0.6%,0.0%,1.3%,2.3%,53.9%,44.9%,25.4%,17.0%,11.0%,13.0%,7.7%,12.3%,3.6%,5.4%,4.5%,20.2,1.1%,19.3%,43.4%,36.2%
Motley County,Texas,80.9%,68.5%,12.4%,0.0%,5.5%,0.0%,0.0%,13.5%,85.1%,12.6%,46.7%,9.0%,6.4%,2.8%,0.0%,10.0%,5.1%,4.6%,15.4%,24.1,0.0%,18.2%,31.0%,50.8%
Nacogdoches County,Texas,88.4%,77.3%,11.2%,0.4%,5.1%,0.5%,1.1%,4.5%,85.6%,13.9%,26.6%,22.7%,15.7%,11.8%,3.8%,8.2%,3.7%,3.1%,4.4%,19.1,3.1%,26.2%,42.1%,28.6%
Navarro County,Texas,93.5%,77.8%,15.7%,0.0%,1.6%,0.1%,0.9%,4.0%,75.2%,24.0%,20.8%,18.5%,17.8%,10.7%,4.1%,9.4%,3.6%,5.2%,10.0%,23.3,3.9%,19.9%,40.6%,35.6%
Newton County,Texas,93.6%,77.9%,15.8%,0.6%,1.8%,0.0%,3.4%,0.5%,33.9%,59.3%,18.1%,7.5%,12.2%,12.9%,2.6%,18.1%,4.5%,9.2%,14.9%,30.1,1.5%,14.6%,39.8%,44.1%
